id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
1000;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 1:1;Quem criou os céus e a terra, segundo o primeiro versículo da Bíblia?;Deus;Os anjos;A natureza;O homem;0;;;;;;rascunho (IA)
1001;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 1:3;O que Deus criou no primeiro dia?;Os animais;A luz;O mar;As plantas;1;;;;;;rascunho (IA)
1002;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 1:31;Em quantos dias Deus fez a obra da criação?;Três;Doze;Seis;Sete;2;;;;;;rascunho (IA)
1003;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 2:2;O que Deus fez no sétimo dia?;Criou o homem;Plantou o jardim;Fez os luminares;Descansou da sua obra;3;;;;;;rascunho (IA)
1004;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 2:7;Qual foi o nome do primeiro homem criado por Deus?;Adão;Sete;Enoque;Noé;0;;;;;;rascunho (IA)
1005;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 2:7;De que Deus formou o homem?;Do barro do mar;Do pó da terra;Da água do rio;Do fogo do céu;1;;;;;;rascunho (IA)
1006;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 2:8;Em que jardim Deus pôs o homem que havia formado?;Em Canaã;Em Sinar;No Éden;Em Getsêmani;2;;;;;;rascunho (IA)
1007;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 2:21-22;De que Deus formou a mulher?;Do pó da terra;Da água do rio;Do sopro do vento;De uma costela do homem;3;;;;;;rascunho (IA)
1008;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 3:20;Qual era o nome da primeira mulher?;Eva;Sara;Ada;Zilá;0;;;;;;rascunho (IA)
1009;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 3:1;Que animal enganou a mulher no jardim?;O bode;A serpente;O leão;O corvo;1;;;;;;rascunho (IA)
1010;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 2:17;De que árvore o homem não podia comer?;Da videira do Éden;Da oliveira sagrada;Da árvore do conhecimento do bem e do mal;Da figueira do jardim;2;;;;;;rascunho (IA)
1011;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 3:7;Com que Adão e Eva se cobriram depois de pecar?;Com peles de ovelha;Com panos de linho;Com ramos de palmeira;Com folhas de figueira;3;;;;;;rascunho (IA)
1012;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 3:24;O que Deus pôs à entrada do jardim do Éden?;Querubins e uma espada flamejante;Um muro de pedra;Um rio profundo;Uma porta de bronze;0;;;;;;rascunho (IA)
1013;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 4:1-2;Quais foram os dois primeiros filhos de Adão e Eva?;Sem e Cam;Caim e Abel;Sete e Enos;Jabal e Jubal;1;;;;;;rascunho (IA)
1014;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 4:8;Quem matou Abel no campo?;Ninrode;Tubalcaim;Caim;Lameque;2;;;;;;rascunho (IA)
1015;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 4:2;Qual era a ocupação de Abel?;Lavrador da terra;Construtor de cidades;Caçador;Pastor de ovelhas;3;;;;;;rascunho (IA)
1016;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 4:2;Qual era a ocupação de Caim?;Lavrador da terra;Pastor de ovelhas;Ferreiro;Músico;0;;;;;;rascunho (IA)
1017;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 4:25;Que terceiro filho nasceu a Adão e Eva, depois da morte de Abel?;Jarede;Sete;Enos;Cainã;1;;;;;;rascunho (IA)
1018;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 5:24;Quem andou com Deus e não foi encontrado, porque Deus o tomou?;Noé;Lameque;Enoque;Matusalém;2;;;;;;rascunho (IA)
1019;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 5:27;Quem viveu mais tempo, segundo a genealogia de Gênesis 5?;Adão;Noé;Jarede;Matusalém;3;;;;;;rascunho (IA)
1020;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 5:27;Quantos anos Matusalém viveu?;Novecentos e sessenta e nove;Novecentos e trinta;Setecentos e setenta;Oitocentos e cinquenta;0;;;;;;rascunho (IA)
1021;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 6:14;Quem Deus mandou construir a arca?;Sem;Noé;Abraão;Enoque;1;;;;;;rascunho (IA)
1022;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 6:10;Quantos filhos Noé tinha?;Sete;Doze;Três;Dois;2;;;;;;rascunho (IA)
1023;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 6:10;Quais eram os nomes dos filhos de Noé?;Caim, Abel e Sete;Abrão, Naor e Harã;Isaque, Ismael e Midiã;Sem, Cam e Jafé;3;;;;;;rascunho (IA)
1024;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 7:12;Por quantos dias e noites choveu sobre a terra?;Quarenta;Sete;Cento e cinquenta;Trezentos;0;;;;;;rascunho (IA)
1025;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 8:4;Sobre que montes a arca repousou?;Sobre o monte Carmelo;Sobre os montes de Ararate;Sobre o monte Sinai;Sobre o monte Moriá;1;;;;;;rascunho (IA)
1026;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 8:7;Que ave Noé soltou primeiro da arca?;A águia;A rola;O corvo;A pomba;2;;;;;;rascunho (IA)
1027;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 8:11;Que ave voltou à arca trazendo uma folha de oliveira?;O corvo;A rola;O pardal;A pomba;3;;;;;;rascunho (IA)
1028;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 9:13;Que sinal Deus pôs nas nuvens como aliança com a terra?;O arco-íris;Uma estrela;Uma coluna de fogo;Uma nuvem branca;0;;;;;;rascunho (IA)
1029;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 11:4-9;Que torre os homens começaram a construir na terra de Sinar?;A torre de Davi;A torre de Babel;A torre de Siló;A torre de Siquém;1;;;;;;rascunho (IA)
1030;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 11:7;O que Deus confundiu entre os construtores da torre?;O caminho deles;A força deles;A língua deles;A memória deles;2;;;;;;rascunho (IA)
1031;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 12:1;Quem Deus chamou para sair da sua terra e da casa de seu pai?;Noé;Isaque;Jacó;Abrão;3;;;;;;rascunho (IA)
1032;GENESIS_COMPLETO;2026-08-22;IA (Claude);1;Gênesis;AT;;;Gn 11:29;Qual era o nome da mulher de Abrão?;Sarai;Rebeca;Agar;Quetura;0;;;;;;rascunho (IA)
