id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
3000;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 3:10;Quem Deus escolheu para tirar Israel do Egito?;Moisés;Josué;Arão;Jetro;0;;;;;;rascunho (IA)
3001;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 2:3;Onde a mãe de Moisés o colocou quando ele era bebê?;Num campo de trigo;Num cesto, à margem do rio;Numa gruta no deserto;Na casa de um sacerdote;1;;;;;;rascunho (IA)
3002;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 2:5;Quem encontrou o menino Moisés no rio?;A irmã de Moisés;Uma parteira egípcia;A filha de Faraó;Uma serva hebreia;2;;;;;;rascunho (IA)
3003;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 3:2;De onde Deus falou com Moisés no deserto?;De uma nuvem escura;De uma coluna de fogo;Do alto do monte Sinai;De uma sarça que ardia;3;;;;;;rascunho (IA)
3004;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 7-12;Quantas pragas Deus enviou sobre o Egito?;Dez;Sete;Doze;Três;0;;;;;;rascunho (IA)
3005;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 7:20;Qual foi a primeira praga enviada sobre o Egito?;A praga dos gafanhotos;As águas se tornaram em sangue;A escuridão sobre a terra;A morte dos primogênitos;1;;;;;;rascunho (IA)
3006;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 8:6;Que animais cobriram a terra do Egito na segunda praga?;Gafanhotos;Escorpiões;Rãs;Serpentes;2;;;;;;rascunho (IA)
3007;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 12:29;Qual foi a última das dez pragas do Egito?;As trevas;A saraiva;As úlceras;A morte dos primogênitos;3;;;;;;rascunho (IA)
3008;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 12:7;O que os israelitas puseram nas portas das suas casas?;O sangue do cordeiro;Ramos de oliveira;Cinza do altar;Sal e azeite;0;;;;;;rascunho (IA)
3009;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 14:21-22;Que mar se abriu para que Israel passasse a pé enxuto?;O mar Grande;O mar Vermelho;O mar da Galileia;O mar Morto;1;;;;;;rascunho (IA)
3010;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 16:15;Que alimento caía do céu para o povo no deserto?;As figueiras;O mel silvestre;O maná;O trigo;2;;;;;;rascunho (IA)
3011;EXODO_COMPLETO;2026-08-22;IA (Claude);1;Êxodo;AT;;;Êx 34:28;Quantos mandamentos Deus deu a Moisés nas tábuas de pedra?;Sete;Doze;Cinco;Dez;3;;;;;;rascunho (IA)
