id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
7000;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 13:2;Quantos espias Moisés enviou para explorar a terra de Canaã?;Doze;Dois;Sete;Setenta;0;;;;;;rascunho (IA)
7001;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 14:6;Quais dois espias trouxeram um bom relatório sobre a terra?;Eldade e Medade;Josué e Calebe;Nadabe e Abiú;Datã e Abirão;1;;;;;;rascunho (IA)
7002;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 13:25;Por quantos dias os espias exploraram a terra de Canaã?;Doze;Trinta;Quarenta;Sete;2;;;;;;rascunho (IA)
7003;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 13:23;O que os espias trouxeram do vale de Escol?;Um saco de trigo;Um cordeiro do rebanho;Uma pedra do altar;Um ramo com um cacho de uvas;3;;;;;;rascunho (IA)
7004;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 14:33;Por quantos anos Israel andou errante pelo deserto?;Quarenta;Setenta;Doze;Sete;0;;;;;;rascunho (IA)
7005;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 21:9;De que material Moisés fez a serpente que levantou numa haste?;De madeira;De bronze;De ouro;De prata;1;;;;;;rascunho (IA)
7006;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 21:9;O que acontecia com quem olhasse para a serpente de bronze?;Era curado da lepra;Recebia uma bênção;Vivia;Adormecia;2;;;;;;rascunho (IA)
7007;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 22:28;Que animal falou com Balaão pelo poder do Senhor?;Um leão do caminho;Um bode do rebanho;Um corvo;A sua jumenta;3;;;;;;rascunho (IA)
7008;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 22:5-6;Quem foi chamado para amaldiçoar o povo de Israel?;Balaão;Balaque;Seom;Ogue;0;;;;;;rascunho (IA)
7009;NUMEROS_COMPLETO;2026-08-22;IA (Claude);1;Números;AT;;;Nm 22:4;Quem era o rei de Moabe que mandou chamar Balaão?;Arade;Balaque;Seom;Ogue;1;;;;;;rascunho (IA)
