id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
9000;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 1:1;Quem fala ao povo em todo o livro de Deuteronômio?;Moisés;Josué;Arão;Eleazar;0;;;;;;rascunho (IA)
9001;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 1:5;Em que região Moisés falou estas palavras a Israel?;Em Cades-Barneia;Na terra de Moabe, além do Jordão;No monte Sinai;No deserto de Parã;1;;;;;;rascunho (IA)
9002;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 34:7;Quantos anos Moisés tinha quando morreu?;Cento e trinta;Oitenta;Cento e vinte;Cento e dez;2;;;;;;rascunho (IA)
9003;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 34:1;Em que monte Moisés subiu para ver a terra prometida antes de morrer?;No monte Sinai;No monte Hor;No monte Carmelo;No monte Nebo;3;;;;;;rascunho (IA)
9004;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 34:6;O que se diz sobre o lugar onde Moisés foi sepultado?;Ninguém sabe onde está a sua sepultura;Foi sepultado em Hebrom;Foi levado para o Egito;Foi sepultado junto a Arão;0;;;;;;rascunho (IA)
9005;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 34:8;Por quantos dias os filhos de Israel choraram a morte de Moisés?;Setenta;Trinta;Sete;Quarenta;1;;;;;;rascunho (IA)
9006;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 31:7;Quem foi encorajado por Moisés para conduzir o povo à terra prometida?;Eleazar;Fineias;Josué;Calebe;2;;;;;;rascunho (IA)
9007;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 6:5;Como o povo deveria amar o Senhor, segundo Deuteronômio 6:5?;Somente nas festas anuais;Com sacrifícios diários;Guardando apenas o sábado;De todo o coração, de toda a alma e de toda a força;3;;;;;;rascunho (IA)
9008;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 6:4;Como começa a declaração conhecida como Shemá?;Ouve, Israel;Bendito seja o Senhor;Santo é o Senhor;Louvai ao Senhor;0;;;;;;rascunho (IA)
9009;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 6:4;O que Deuteronômio 6:4 declara a respeito do Senhor?;Que ele fez os céus;Que ele é o único Senhor;Que ele habita no santuário;Que ele julga as nações;1;;;;;;rascunho (IA)
9010;DEUTERONOMIO_COMPLETO;2026-08-22;IA (Claude);1;Deuteronômio;AT;;;Dt 6:7;A quem as palavras da lei deveriam ser ensinadas com diligência?;Aos estrangeiros;Aos reis vizinhos;Aos filhos;Aos sacerdotes;2;;;;;;rascunho (IA)
