"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"11000","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 1:1","Quem sucedeu Moisés na liderança de Israel?","Josué","Calebe","Eleazar","Otniel","0","","","","","","rascunho (IA)"
"11001","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 1:9","Que ordem Deus repete a Josué no início do livro?","Conta o povo","Sê forte e corajoso","Cala-te e espera","Volta ao deserto","1","","","","","","rascunho (IA)"
"11002","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 1:8","O que Josué deveria meditar dia e noite?","As promessas aos patriarcas","Os planos de batalha","O Livro da Lei","Os cânticos de Moisés","2","","","","","","rascunho (IA)"
"11003","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 2:1","Quantos espias Josué enviou a Jericó?","Doze","Sete","Cinco","Dois","3","","","","","","rascunho (IA)"
"11004","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 2:1","Que mulher escondeu os espias em Jericó?","Raabe","Débora","Ana","Acsa","0","","","","","","rascunho (IA)"
"11005","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 2:18","Que sinal Raabe pôs na janela para ser poupada?","Uma lâmpada acesa","Um cordão de fio de escarlata","Um pano branco","Um ramo de oliveira","1","","","","","","rascunho (IA)"
"11006","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 3:16","Que rio Israel atravessou a pé enxuto para entrar em Canaã?","O Nilo","O Jaboque","O Jordão","O Eufrates","2","","","","","","rascunho (IA)"
"11007","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 3:14","O que ia adiante do povo na travessia do Jordão?","A coluna de fogo","O exército de Judá","O próprio Josué","A arca da aliança","3","","","","","","rascunho (IA)"
"11008","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 4:3","Quantas pedras foram tiradas do meio do Jordão como memorial?","Doze","Sete","Três","Quarenta","0","","","","","","rascunho (IA)"
"11009","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 5:12","O que cessou depois que o povo comeu do produto da terra?","A água da rocha","O maná","As codornizes","A coluna de nuvem","1","","","","","","rascunho (IA)"
"11010","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 6:4","Quantas vezes o povo rodeou Jericó no sétimo dia?","Três","Doze","Sete","Uma","2","","","","","","rascunho (IA)"
"11011","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 6:3","Por quantos dias o povo rodeou Jericó uma vez ao dia?","Sete","Três","Quarenta","Seis","3","","","","","","rascunho (IA)"
"11012","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 6:20","O que aconteceu com os muros de Jericó?","Caíram","Foram escalados","Foram derrubados por aríetes","Foram abertos por traidores","0","","","","","","rascunho (IA)"
"11013","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 6:4","Que instrumento os sacerdotes tocavam ao rodear Jericó?","Címbalos de bronze","Trombetas de chifre de carneiro","Harpas e liras","Tambores de guerra","1","","","","","","rascunho (IA)"
"11014","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 6:25","Quem foi poupada na destruição de Jericó, junto com a sua família?","Débora","A mulher de Acã","Raabe","Acsa","2","","","","","","rascunho (IA)"
"11015","JOSUE_COMPLETO","2026-08-22","IA (Claude)","1","Josué","AT","","","Js 7:1","Quem tomou do anátema e trouxe derrota sobre Israel?","Acsa","Otniel","Zebulom","Acã","3","","","","","","rascunho (IA)"
