"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"13000","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 4:4","Que mulher era profetisa e julgava Israel?","Débora","Jael","Raabe","Ana","0","","","","","","rascunho (IA)"
"13001","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 4:5","Debaixo de que árvore Débora se assentava para julgar?","De uma oliveira","De uma palmeira","De um carvalho","De uma figueira","1","","","","","","rascunho (IA)"
"13002","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 4:21","Que mulher matou Sísera com uma estaca de tenda?","Dalila","Acsa","Jael","Débora","2","","","","","","rascunho (IA)"
"13003","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 6:11","Quem foi chamado pelo anjo enquanto malhava trigo no lagar?","Baraque","Jefté","Sansão","Gideão","3","","","","","","rascunho (IA)"
"13004","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 7:7","Com quantos homens Gideão derrotou os midianitas?","Trezentos","Trinta mil","Três mil","Setenta","0","","","","","","rascunho (IA)"
"13005","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 7:16","Que objetos os trezentos homens de Gideão levaram para a batalha?","Lanças e fundas","Trombetas e cântaros vazios com tochas dentro","Espadas e escudos","Arcos e flechas","1","","","","","","rascunho (IA)"
"13006","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 7:20","Que grito os homens de Gideão deram na batalha?","Levanta-te, ó Senhor","Vitória para Israel","Espada do Senhor e de Gideão","Assim diz o Senhor dos Exércitos","2","","","","","","rascunho (IA)"
"13007","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 6:37","Que sinal Gideão pediu a Deus, usando lã?","Uma coluna de fogo","Uma nuvem sobre a tenda","Uma chuva fora de tempo","Um velo de lã na eira","3","","","","","","rascunho (IA)"
"13008","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 13:5","Que voto Sansão deveria cumprir desde o ventre de sua mãe?","Ser nazireu de Deus","Ser sacerdote do santuário","Ser rei sobre Israel","Ser escriba da lei","0","","","","","","rascunho (IA)"
"13009","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 14:6","Que animal Sansão despedaçou com as próprias mãos?","Um touro","Um leão","Um urso","Um lobo","1","","","","","","rascunho (IA)"
"13010","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 14:8","O que Sansão achou no corpo do leão morto?","Uma pedra preciosa","Uma fonte de água","Um enxame de abelhas e mel","Um ninho de aves","2","","","","","","rascunho (IA)"
"13011","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 15:4","Quantas raposas Sansão apanhou para atear fogo nas searas dos filisteus?","Cem","Cinquenta","Mil","Trezentas","3","","","","","","rascunho (IA)"
"13012","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 15:15","Com que Sansão matou mil homens?","Com uma queixada de jumento","Com uma espada de bronze","Com uma funda e pedras","Com um cajado de madeira","0","","","","","","rascunho (IA)"
"13013","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 16:4","Qual era o nome da mulher que descobriu o segredo da força de Sansão?","Acsa","Dalila","Jael","Débora","1","","","","","","rascunho (IA)"
"13014","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 16:17","Onde estava o segredo da força de Sansão?","No anel que usava","Na sua descendência","No seu cabelo, que nunca fora cortado","Na sua espada de ferro","2","","","","","","rascunho (IA)"
"13015","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 16:21","O que os filisteus fizeram com Sansão depois de o prenderem?","Levaram-no ao rei de Gaza","Venderam-no como escravo no Egito","Encerraram-no numa caverna","Vazaram-lhe os olhos e o puseram a moer no cárcere","3","","","","","","rascunho (IA)"
"13016","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 16:30","Como Sansão morreu?","Derrubando a casa sobre si e sobre os filisteus","Ferido em batalha por uma flecha","Envenenado por Dalila","De doença no cárcere","0","","","","","","rascunho (IA)"
"13017","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 11:1","Que juiz era filho de uma prostituta e foi rejeitado pelos irmãos?","Sansão","Jefté","Gideão","Baraque","1","","","","","","rascunho (IA)"
"13018","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 3:15","Que juiz era canhoto e matou Eglom, rei de Moabe?","Sangar","Baraque","Eúde","Otniel","2","","","","","","rascunho (IA)"
"13019","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 3:31","Com que Sangar feriu seiscentos filisteus?","Com uma queixada de jumento","Com uma funda","Com um machado","Com uma aguilhada de bois","3","","","","","","rascunho (IA)"
"13020","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 3:9","Quem foi o primeiro juiz levantado por Deus para libertar Israel?","Otniel","Eúde","Sangar","Débora","0","","","","","","rascunho (IA)"
"13021","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 4:6","Que homem Débora chamou para comandar o exército contra Sísera?","Abimeleque","Baraque","Gideão","Jefté","1","","","","","","rascunho (IA)"
"13022","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 9:5","Quantos irmãos Abimeleque matou sobre uma pedra?","Trinta","Cem","Setenta","Doze","2","","","","","","rascunho (IA)"
"13023","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 9:53","Como Abimeleque foi ferido de morte?","Foi ferido por uma flecha","Caiu de um muro alto","Foi morto pelo seu escudeiro","Uma mulher lançou sobre a sua cabeça uma pedra de moinho","3","","","","","","rascunho (IA)"
"13024","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 21:25","Que frase resume a condição de Israel no fim do livro de Juízes?","Não havia rei em Israel, cada um fazia o que achava mais reto","O povo servia ao Senhor de todo o coração","Os juízes governavam com justiça","A terra teve paz por quarenta anos","0","","","","","","rascunho (IA)"
"13025","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 2:16","Quem Deus levantava para livrar o povo dos seus opressores?","Sacerdotes","Juízes","Reis","Profetas","1","","","","","","rascunho (IA)"
"13026","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 6:12","Como o anjo do Senhor chamou Gideão ao lhe aparecer?","Filho da promessa","Príncipe do povo","Homem valente","Servo fiel","2","","","","","","rascunho (IA)"
"13027","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 6:32","Que nome Gideão recebeu por ter derrubado o altar de Baal?","Israel","Abimeleque","Ismael","Jerubaal","3","","","","","","rascunho (IA)"
"13028","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 16:3","O que Sansão levou embora ao escapar de Gaza?","As portas da cidade com as suas duas colunas","O tesouro do templo","Os cavalos do rei","As armas dos guardas","0","","","","","","rascunho (IA)"
"13029","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 12:6","Que palavra foi usada como senha para identificar os efraimitas?","Maná","Chibolete","Shalom","Ebenézer","1","","","","","","rascunho (IA)"
"13030","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 1:1","Com a morte de quem o livro de Juízes começa?","De Eleazar","De Calebe","De Josué","De Moisés","2","","","","","","rascunho (IA)"
"13031","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 13:2","Qual era o nome do pai de Sansão?","Jerubaal","Joás","Elcana","Manoá","3","","","","","","rascunho (IA)"
"13032","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 16:31","Por quantos anos Sansão julgou Israel?","Vinte","Quarenta","Sete","Doze","0","","","","","","rascunho (IA)"
"13033","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 7:5","Como Deus mandou Gideão separar os homens junto à água?","Pelas tribos a que pertenciam","Pelo modo como bebiam a água","Pela altura de cada um","Pela idade dos guerreiros","1","","","","","","rascunho (IA)"
"13034","JUIZES_COMPLETO","2026-08-22","IA (Claude)","1","Juízes","AT","","","Jz 8:23","O que Gideão respondeu quando quiseram fazê-lo rei?","Que consultaria os anciãos","Que dividiria o reino com Baraque","Que nem ele nem seu filho dominariam, mas o Senhor","Que aceitaria depois da guerra","2","","","","","","rascunho (IA)"
"13035","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 1:1","A quem o Senhor mandou subir primeiro contra os cananeus?","A Efraim","A Benjamim","A Levi","A Judá","3","","","","","","rascunho (IA)"
"13036","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 1:6","Que castigo Adoni-Bezeque recebeu, tendo feito o mesmo a outros reis?","Cortaram-lhe os polegares das mãos e dos pés","Vazaram-lhe os olhos","Cortaram-lhe a língua","Prenderam-no numa cova","0","","","","","","rascunho (IA)"
"13037","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 1:12","Quem prometeu a filha a quem tomasse Quiriate-Sefer?","Eleazar","Calebe","Josué","Otniel","1","","","","","","rascunho (IA)"
"13038","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 2:1","A que lugar o anjo do Senhor subiu para repreender o povo?","A Siló","A Gilgal","A Boquim","A Betel","2","","","","","","rascunho (IA)"
"13039","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 2:10","O que se diz da geração que se levantou depois de Josué?","Serviu ao Senhor com fidelidade","Reconstruiu o santuário","Ampliou as fronteiras da terra","Não conhecia o Senhor nem as obras que ele fizera por Israel","3","","","","","","rascunho (IA)"
"13040","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 3:8","Contra que rei Otniel lutou, libertando Israel?","Cuchã-Risataim","Eglom, rei de Moabe","Jabim, rei de Canaã","Sísera, o capitão","0","","","","","","rascunho (IA)"
"13041","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 3:16","Como era a espada que Eúde preparou?","Curta, sem gume","De dois gumes, de um côvado de comprimento","Curva, como as dos egípcios","Longa, de dois côvados","1","","","","","","rascunho (IA)"
"13042","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 3:20","Onde Eúde encontrou Eglom, ao entregar-lhe a mensagem?","No átrio do templo","Nas portas da cidade","Na sala de verão, onde estava sozinho","No campo de batalha","2","","","","","","rascunho (IA)"
"13043","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 4:2","Qual era o nome do rei de Canaã que oprimiu Israel por vinte anos?","Eglom","Cuchã-Risataim","Adoni-Bezeque","Jabim","3","","","","","","rascunho (IA)"
"13044","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 4:3","Quantos carros de ferro Sísera possuía?","Novecentos","Trezentos","Cem","Mil e duzentos","0","","","","","","rascunho (IA)"
"13045","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 4:8","Que condição Baraque impôs a Débora antes de ir à batalha?","Que a batalha fosse adiada","Que ela fosse com ele","Que Deus lhe desse um sinal","Que o exército fosse dobrado","1","","","","","","rascunho (IA)"
"13046","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 4:9","Que consequência Débora anunciou por causa da hesitação de Baraque?","A batalha duraria sete dias","Ele não veria a terra em paz","A honra da vitória caberia a uma mulher","Ele perderia metade do exército","2","","","","","","rascunho (IA)"
"13047","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 5:1","Quem entoou o cântico registrado no capítulo 5 de Juízes?","Gideão e seus homens","Sansão e Manoá","Jefté e a sua filha","Débora e Baraque","3","","","","","","rascunho (IA)"
"13048","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 6:1","A quem o Senhor entregou Israel por sete anos, antes de Gideão?","Aos midianitas","Aos filisteus","Aos moabitas","Aos amonitas","0","","","","","","rascunho (IA)"
"13049","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 6:15","Que objeção Gideão levantou ao ser chamado?","Temia os anciãos do povo","A sua família era a mais pobre em Manassés e ele o menor da casa","Não sabia guerrear","Já era velho demais","1","","","","","","rascunho (IA)"
"13050","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 6:25","Que altar Gideão derrubou por ordem do Senhor?","O altar dos midianitas","O altar de Siló","O altar de Baal que pertencia a seu pai","O altar de Astarote em Betel","2","","","","","","rascunho (IA)"
"13051","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 6:39","Que segundo sinal Gideão pediu com o velo?","Que o velo pegasse fogo","Que o velo se movesse sozinho","Que o velo dobrasse de tamanho","Que o velo ficasse seco e o chão coberto de orvalho","3","","","","","","rascunho (IA)"
"13052","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 7:3","Quantos homens voltaram para casa por serem medrosos?","Vinte e dois mil","Dez mil","Trinta mil","Cinco mil","0","","","","","","rascunho (IA)"
"13053","JUIZES_COMPLETO","2026-08-22","IA (Claude)","2","Juízes","AT","","","Jz 7:13","Que sonho um midianita contou, que animou Gideão?","Uma estrela caiu do céu","Um pão de cevada rolou e derrubou a tenda","Uma águia arrebatou o rei","Um rio secou de repente","1","","","","","","rascunho (IA)"
