"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"15000","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 1:4","Qual era o nome da sogra de Rute?","Noemi","Orfa","Naomi","Débora","0","","","","","","rascunho (IA)"
"15001","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 1:16","O que Rute disse a Noemi, recusando deixá-la?","Seguirei Orfa de volta","Aonde quer que fores irei, e onde quer que pousares pousarei","Ficarei em Moabe com a minha família","Voltarei para a casa de meu pai","1","","","","","","rascunho (IA)"
"15002","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 1:16","Que declaração Rute fez sobre o Deus de Noemi?","O teu Deus é maior que os deuses de Moabe","O teu Deus nos abençoará","O teu Deus será o meu Deus","O teu Deus me protegerá","2","","","","","","rascunho (IA)"
"15003","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 1:22","De que terra Noemi e Rute voltaram?","Do Egito","Da Assíria","De Edom","De Moabe","3","","","","","","rascunho (IA)"
"15004","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 1:22","Para que cidade Noemi e Rute voltaram?","Belém","Jerusalém","Hebrom","Siquém","0","","","","","","rascunho (IA)"
"15005","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 2:1","Qual era o nome do parente rico de Noemi?","Malom","Boaz","Elimeleque","Quiliom","1","","","","","","rascunho (IA)"
"15006","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 2:2","O que Rute foi fazer no campo de Boaz?","Buscar água na fonte","Pastorear ovelhas","Colher espigas atrás dos ceifeiros","Vender panos no mercado","2","","","","","","rascunho (IA)"
"15007","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 2:11","Por que Boaz tratou Rute com bondade?","Porque ela era rica","Porque ela era parente de Boaz","Porque ela pediu ajuda ao rei","Por causa do que ela fez por Noemi, deixando a sua terra","3","","","","","","rascunho (IA)"
"15008","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 3:9","O que Rute pediu a Boaz, na eira, à noite?","Que estendesse a sua capa sobre ela, pois era o seu remidor","Que a levasse para o campo","Que a apresentasse aos anciãos","Que lhe desse trigo para Noemi","0","","","","","","rascunho (IA)"
"15009","RUTE_COMPLETO","2026-08-22","IA (Claude)","1","Rute","AT","","","Rt 4:13","O que aconteceu depois que Boaz se casou com Rute?","Ela ficou estéril","Ela deu à luz um filho","Ela voltou a Moabe","Ela se tornou rica sozinha","1","","","","","","rascunho (IA)"
