"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"17000","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 1:20","Qual era o nome do filho que Ana teve, depois de muito orar?","Samuel","Saul","Davi","Eli","0","","","","","","rascunho (IA)"
"17001","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 1:2","Quantas esposas tinha Elcana, pai de Samuel?","Quatro","Duas","Uma","Três","1","","","","","","rascunho (IA)"
"17002","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 3:10","Quem chamou Samuel enquanto ele dormia no templo?","Um anjo","Um profeta","O Senhor","O sacerdote Eli","2","","","","","","rascunho (IA)"
"17003","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 4:11","O que aconteceu com a arca da aliança na batalha contra os filisteus?","Foi destruída","Foi escondida no deserto","Foi levada a Jerusalém","Foi tomada pelos filisteus","3","","","","","","rascunho (IA)"
"17004","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 8:5","O que o povo pediu a Samuel, quando ele já estava velho?","Um rei","Um novo sacerdote","Um exército maior","Uma nova lei","0","","","","","","rascunho (IA)"
"17005","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 9:2","Quem foi escolhido como o primeiro rei de Israel?","Samuel","Saul","Davi","Jônatas","1","","","","","","rascunho (IA)"
"17006","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 16:13","Quem Samuel ungiu como o próximo rei de Israel?","Jônatas","Eliabe","Davi","Saul","2","","","","","","rascunho (IA)"
"17007","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 16:11","Qual era a ocupação de Davi quando foi chamado por Samuel?","Soldado","Lavrador","Ferreiro","Pastor de ovelhas","3","","","","","","rascunho (IA)"
"17008","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 17:4","Qual era o nome do gigante filisteu que desafiou Israel?","Golias","Aquis","Abinadabe","Elá","0","","","","","","rascunho (IA)"
"17009","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 17:40","Com que arma Davi enfrentou Golias?","Um arco e flechas","Uma funda e pedras","Uma espada","Uma lança","1","","","","","","rascunho (IA)"
"17010","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 17:49","Onde a pedra de Davi atingiu Golias?","No braço","Na perna","Na testa","No peito","2","","","","","","rascunho (IA)"
"17011","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 18:1","Qual era o nome do filho de Saul que se tornou grande amigo de Davi?","Abner","Isbosete","Merabe","Jônatas","3","","","","","","rascunho (IA)"
"17012","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 18:7","O que as mulheres cantavam sobre Saul e Davi?","Saul feriu os seus milhares, e Davi os seus dez milhares","Davi é o maior rei de Israel","Saul reinará para sempre","Bendito seja o Senhor de Israel","0","","","","","","rascunho (IA)"
"17013","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 19:10","O que Saul tentou fazer a Davi, com uma lança?","Expulsá-lo do reino","Encravá-lo na parede","Feri-lo no braço","Prendê-lo no palácio","1","","","","","","rascunho (IA)"
"17014","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 24:4","Onde Davi cortou secretamente a orla do manto de Saul?","No campo de batalha","Junto ao rio","Numa caverna","No palácio","2","","","","","","rascunho (IA)"
"17015","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 28:7","A quem Saul consultou, desesperado, antes da batalha final?","Um profeta","Um sacerdote","Um anjo","Uma médium, em Endor","3","","","","","","rascunho (IA)"
"17016","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 31:4","Como Saul morreu, segundo o relato de 1 Samuel?","Lançou-se sobre a própria espada","Foi morto pelos filisteus","Morreu de doença","Foi morto por Davi","0","","","","","","rascunho (IA)"
"17017","1SAMUEL_COMPLETO","2026-08-22","IA (Claude)","1","1 Samuel","AT","","","1Sm 31:2","Quem também morreu na mesma batalha em que Saul morreu?","Doegue, o edomita","Jônatas, seu filho","Samuel, o profeta","Abner, o general","1","","","","","","rascunho (IA)"
