"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"19000";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 1:4";"Que notícia trágica um mensageiro trouxe a Davi, no início de 2 Samuel?";"A morte de Saul e Jônatas";"A queda de Jerusalém";"A morte de Samuel";"A invasão dos filisteus";"0";"";"";"";"";"";"rascunho (IA)"
"19001";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 1:17";"O que Davi compôs, ao lamentar a morte de Saul e Jônatas?";"Um cântico de vitória";"Uma elegia";"Um salmo de louvor";"Uma oração de perdão";"1";"";"";"";"";"";"rascunho (IA)"
"19002";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 2:4";"Sobre que tribo Davi foi ungido rei, primeiro?";"Benjamim";"Efraim";"Judá";"Israel";"2";"";"";"";"";"";"rascunho (IA)"
"19003";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 5:3";"Quando Davi se tornou rei sobre todo o Israel?";"Logo após a morte de Saul";"Após vencer os filisteus";"Após conquistar Jerusalém";"Depois de ser ungido pelos anciãos de todas as tribos";"3";"";"";"";"";"";"rascunho (IA)"
"19004";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 5:7";"Que cidade Davi conquistou e tornou sua capital?";"Jerusalém";"Hebrom";"Belém";"Siquém";"0";"";"";"";"";"";"rascunho (IA)"
"19005";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 6:14";"O que Davi fez diante da arca, ao trazê-la para Jerusalém?";"Orava prostrado";"Saltava e dançava com todas as forças";"Cantava em silêncio";"Oferecia sacrifícios calado";"1";"";"";"";"";"";"rascunho (IA)"
"19006";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 7:12";"Que promessa Deus fez a Davi sobre a sua descendência e o seu trono?";"Que governariam apenas Judá";"Que seriam sacerdotes eternos";"Que seriam estabelecidos para sempre";"Que reinariam por cem anos";"2";"";"";"";"";"";"rascunho (IA)"
"19007";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 11:2";"Que mulher Davi viu do terraço do palácio, e por quem se apaixonou?";"Abigail";"Mical";"Tamar";"Bate-Seba";"3";"";"";"";"";"";"rascunho (IA)"
"19008";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 11:3";"Quem era o marido de Bate-Seba, que Davi mandou matar em batalha?";"Urias";"Joabe";"Amnom";"Absalão";"0";"";"";"";"";"";"rascunho (IA)"
"19009";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 12:1";"Quem o profeta Natã enviou para confrontar Davi sobre o seu pecado?";"Abiatar";"Ele mesmo foi confrontá-lo";"Um anjo";"Zadoque";"1";"";"";"";"";"";"rascunho (IA)"
"19010";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 12:13";"O que Davi disse ao ser confrontado por Natã?";"Foi um acidente";"Deus me perdoará sem confissão";"Pequei contra o Senhor";"Não fiz nada de errado";"2";"";"";"";"";"";"rascunho (IA)"
"19011";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 15:10";"Qual filho de Davi se rebelou contra ele, tentando tomar o trono?";"Amnom";"Salomão";"Adonias";"Absalão";"3";"";"";"";"";"";"rascunho (IA)"
"19012";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 15:14";"O que Davi fez ao saber da rebelião de Absalão?";"Fugiu de Jerusalém";"Enfrentou-o imediatamente";"Escondeu-se no palácio";"Pediu ajuda aos filisteus";"0";"";"";"";"";"";"rascunho (IA)"
"19013";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 18:9";"O que aconteceu a Absalão durante a batalha na floresta de Efraim?";"Rendeu-se ao exército de Davi";"Ficou preso pelos cabelos numa árvore";"Foi capturado vivo";"Escapou para outra terra";"1";"";"";"";"";"";"rascunho (IA)"
"19014";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 18:14";"Quem matou Absalão, apesar da ordem de Davi para poupá-lo?";"Aitofel";"Husai";"Joabe";"Abisai";"2";"";"";"";"";"";"rascunho (IA)"
"19015";"2SAMUEL_COMPLETO";"2026-08-22";"IA (Claude)";"1";"2 Samuel";"AT";"";"";"2Sm 18:33";"Como Davi reagiu ao saber da morte de Absalão?";"Ficou aliviado";"Celebrou a vitória";"Ficou indiferente";"Chorou amargamente";"3";"";"";"";"";"";"rascunho (IA)"
