"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"25000";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 1:1";"Qual é o primeiro nome citado nas genealogias de 1 Crônicas?";"Adão";"Noé";"Abraão";"Sete";"0";"";"";"";"";"";"rascunho (IA)"
"25001";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 2:13-15";"De quem Davi era filho, segundo as genealogias?";"De Obede";"De Jessé";"De Boaz";"De Sual";"1";"";"";"";"";"";"rascunho (IA)"
"25002";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 10:2";"Qual rei de Israel morreu na batalha do monte Gilboa?";"Davi";"Salomão";"Saul";"Roboão";"2";"";"";"";"";"";"rascunho (IA)"
"25003";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 11:3";"Em qual cidade Davi foi ungido rei sobre todo o Israel?";"Belém";"Jerusalém";"Siló";"Hebrom";"3";"";"";"";"";"";"rascunho (IA)"
"25004";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 11:5";"Qual fortaleza Davi tomou e passou a chamar-se cidade de Davi?";"Sião";"Megido";"Laquis";"Samaria";"0";"";"";"";"";"";"rascunho (IA)"
"25005";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 13:9-10";"Quem morreu ao estender a mão para segurar a arca de Deus?";"Aiô";"Uzá";"Abinadabe";"Quenanias";"1";"";"";"";"";"";"rascunho (IA)"
"25006";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 13:14";"Em casa de quem a arca de Deus ficou por três meses?";"Abinadabe";"Zadoque";"Obede-Edom";"Aimeleque";"2";"";"";"";"";"";"rascunho (IA)"
"25007";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 15:29";"Quem desprezou Davi no coração ao vê-lo dançando diante da arca?";"Bate-Sua";"Abigail";"Ainoã";"Mical";"3";"";"";"";"";"";"rascunho (IA)"
"25008";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 17:4";"O que Deus disse a Davi que ele não construiria?";"A casa do Senhor";"O muro da cidade";"O palácio real";"A fortaleza de Sião";"0";"";"";"";"";"";"rascunho (IA)"
"25009";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 22:9-10";"Qual filho de Davi edificaria a casa do Senhor?";"Absalão";"Salomão";"Adonias";"Amnom";"1";"";"";"";"";"";"rascunho (IA)"
"25010";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 29:28";"Em que condição Davi morreu?";"Ferido em batalha";"Doente e pobre";"Em boa velhice e cheio de dias";"Fugindo no deserto";"2";"";"";"";"";"";"rascunho (IA)"
"25011";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 29:27";"Quantos anos Davi reinou sobre Israel?";"Trinta anos";"Vinte anos";"Sete anos";"Quarenta anos";"3";"";"";"";"";"";"rascunho (IA)"
"25012";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 21:1";"Quem incitou Davi a numerar o povo de Israel?";"Satanás";"Joabe";"Natã";"Gade";"0";"";"";"";"";"";"rascunho (IA)"
"25013";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 21:14";"Que castigo o Senhor enviou sobre Israel depois do recenseamento?";"Uma fome";"Uma peste";"Um terremoto";"Uma invasão";"1";"";"";"";"";"";"rascunho (IA)"
"25014";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 16:34";"Segundo o cântico de Davi, por quanto tempo dura a benignidade do Senhor?";"Por sete anos";"Por uma geração";"Perpetuamente";"Até o fim da guerra";"2";"";"";"";"";"";"rascunho (IA)"
"25015";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 11:22";"Quem desceu e matou um leão dentro de uma cova em tempo de neve?";"Abisai";"Joabe";"Asael";"Benaia";"3";"";"";"";"";"";"rascunho (IA)"
"25016";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 20:5";"Elanã feriu Lami, que era irmão de quem?";"De Golias";"De Saul";"De Hadadezer";"De Naás";"0";"";"";"";"";"";"rascunho (IA)"
"25017";"1CRONICAS";"2026-09-05";"ARC";"1";"1 Crônicas";"AT";"";"";"1 Crônicas 20:6";"Quantos dedos em cada mão e em cada pé tinha o homem de Gate?";"Cinco";"Seis";"Sete";"Quatro";"1";"";"";"";"";"";"rascunho (IA)"
