"id","lote","data_lote","fonte","nivel","livro_biblico","testamento","categoria_ebd","ebd_versao","referencia","pergunta_pt","alternativa_pt_a","alternativa_pt_b","alternativa_pt_c","alternativa_pt_d","resposta_correta","pergunta_en","alternativa_en_a","alternativa_en_b","alternativa_en_c","alternativa_en_d","status_revisao"
"29000","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 1:1","Que rei persa decretou a volta dos judeus do cativeiro?","Ciro","Dario","Artaxerxes","Assuero","0","","","","","","rascunho (IA)"
"29001","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 1:2","O que Ciro autorizou o povo a reconstruir?","As casas particulares","A casa do Senhor em Jerusalém","Os muros da cidade","O palácio real","1","","","","","","rascunho (IA)"
"29002","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 2:1","Que povo voltou do cativeiro para Jerusalém e Judá?","Os samaritanos","Os edomitas","Os que Nabucodonosor havia levado cativos","Os egípcios expulsos","2","","","","","","rascunho (IA)"
"29003","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 3:2","Quem reconstruiu o altar do Deus de Israel?","Esdras e Neemias","Ageu e Zacarias","Ester e Mardoqueu","Jesua e Zorobabel","3","","","","","","rascunho (IA)"
"29004","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 3:10","O que os sacerdotes fizeram ao lançarem os alicerces do templo?","Louvaram ao Senhor com trombetas e címbalos","Jejuaram por sete dias","Ofereceram sacrifícios em silêncio","Leram a lei em voz alta","0","","","","","","rascunho (IA)"
"29005","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 4:1","Quem se ofereceu para ajudar na reconstrução, mas foi recusado?","Os profetas de Israel","Os adversários de Judá e Benjamim","Os sacerdotes egípcios","Os reis vizinhos","1","","","","","","rascunho (IA)"
"29006","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 6:15","Em quanto tempo o templo foi finalmente concluído?","Em quarenta anos","Em setenta anos","No sexto ano do reinado de Dario","No primeiro ano de Ciro","2","","","","","","rascunho (IA)"
"29007","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 7:6","Quem era Esdras, segundo a sua apresentação no livro?","Um sacerdote apenas","Um governador da Judeia","Um general do exército","Um escriba versado na lei de Moisés","3","","","","","","rascunho (IA)"
"29008","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 7:1","A que rei persa Esdras serviu, ao ser enviado a Jerusalém?","Artaxerxes","Ciro","Dario","Assuero","0","","","","","","rascunho (IA)"
"29009","ESDRAS_COMPLETO","2026-08-22","IA (Claude)","1","Esdras","AT","","","Ed 8:21","O que Esdras proclamou junto ao rio Aava, antes da viagem?","Uma oferta especial","Um jejum","Uma festa","Um censo","1","","","","","","rascunho (IA)"
