"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"35000";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 1:1";"Em que terra vivia Jó, um homem íntegro e reto, que temia a Deus?";"Terra de Uz";"Terra de Canaã";"Terra de Moabe";"Terra de Edom";"0";"";"";"";"";"";"rascunho (IA)"
"35001";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 1:2";"Quantos filhos e filhas Jó tinha originalmente?";"Sete filhos e três filhas";"Três filhos e sete filhas";"Dez filhos";"Cinco filhos e cinco filhas";"0";"";"";"";"";"";"rascunho (IA)"
"35002";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 1:3";"Jó era o homem mais rico de todos os do...";"Mundo";"Povo";"Reino";"Oriente";"3";"";"";"";"";"";"rascunho (IA)"
"35003";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 1:12";"Quem desafiou a Deus a testar a fidelidade de Jó, tirando-lhe tudo o que tinha?";"Um profeta falso";"Satanás";"Um anjo caído";"Um rei inimigo";"1";"";"";"";"";"";"rascunho (IA)"
"35004";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 1:21";"Após perder tudo, Jó disse: o Senhor deu, o Senhor tomou, bendito seja o nome do...";"Senhor";"Altíssimo";"Deus";"Todo-Poderoso";"0";"";"";"";"";"";"rascunho (IA)"
"35005";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 2:7";"Na segunda prova, Satanás feriu Jó com uma chaga maligna, da planta do pé até o...";"Alto da cabeça";"Rosto";"Pescoço";"Peito";"0";"";"";"";"";"";"rascunho (IA)"
"35006";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 2:9";"Ao ver o sofrimento de Jó, sua mulher lhe disse: amaldiçoa a Deus, e...";"Chora";"Desiste";"Foge";"Morre";"3";"";"";"";"";"";"rascunho (IA)"
"35007";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 2:11";"Quantos amigos vieram consolar Jó em seu sofrimento?";"Cinco";"Dois";"Três";"Quatro";"2";"";"";"";"";"";"rascunho (IA)"
"35008";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 2:11";"Qual destes NÃO era um dos três amigos de Jó?";"Elifaz";"Bildade";"Zofar";"Eliú";"3";"";"";"";"";"";"rascunho (IA)"
"35009";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 2:13";"Os amigos de Jó se assentaram com ele no chão por sete dias e sete noites, sem ninguém lhe dizer...";"Palavra alguma";"Uma só palavra";"Sequer um som";"Nada";"0";"";"";"";"";"";"rascunho (IA)"
"35010";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 3:1";"Depois desse silêncio, Jó abriu a boca e amaldiçoou o seu...";"Sofrimento";"Nascimento";"Destino";"Dia";"3";"";"";"";"";"";"rascunho (IA)"
"35011";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 13:15";"Jó declarou sua confiança em Deus, mesmo que ele o matasse: ainda que ele me...";"Esqueça, o seguirei";"Mate, nele esperarei";"Abandone, o buscarei";"Rejeite, o amarei";"1";"";"";"";"";"";"rascunho (IA)"
"35012";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 19:25";"Jó afirmou com esperança: eu sei que o meu...";"Deus vive";"Redentor vive";"Senhor vive";"Salvador vive";"1";"";"";"";"";"";"rascunho (IA)"
"35013";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 28:28";"Jó ensina que o temor do Senhor é a...";"Sabedoria";"Salvação";"Vitória";"Vida";"0";"";"";"";"";"";"rascunho (IA)"
"35014";"JO_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Jó";"AT";"";"";"Jó 38:1";"Depois dos longos discursos, o Senhor respondeu a Jó do meio de um...";"Trovão";"Terremoto";"Fogo";"Redemoinho";"3";"";"";"";"";"";"rascunho (IA)"
