id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
37907;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 121:1;Para onde o salmista eleva os olhos, no início do Salmo 121?;Para os montes;Para o santuário;Para o mar;Para o deserto;0;;;;;;rascunho (IA)
37908;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 121:2;De onde vem o socorro do salmista, segundo o Salmo 121:2?;Das cidades vizinhas;Do Senhor, que fez o céu e a terra;Dos exércitos de Israel;Dos anciãos do povo;1;;;;;;rascunho (IA)
37909;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 121:4;O que se diz do guarda de Israel, no Salmo 121:4?;Vela somente de noite;Dorme quando o povo peca;Não dormita nem dorme;Descansa ao sétimo dia;2;;;;;;rascunho (IA)
37910;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 121:5;O que o Senhor é para o seu povo, segundo o Salmo 121:5?;O teu juiz e a tua sentença;O teu mestre e o teu conselho;O teu rei e o teu escudo;O teu guardador e a tua sombra à tua direita;3;;;;;;rascunho (IA)
37911;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 121:6;Do que o Senhor guarda o seu povo, de dia e de noite, no Salmo 121:6?;Do sol de dia e da lua de noite;Da fome e da sede;Da espada e da peste;Do frio e do calor;0;;;;;;rascunho (IA)
37912;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 121:8;O que o Senhor guardará, segundo o encerramento do Salmo 121?;Os teus filhos e os teus rebanhos;A tua saída e a tua entrada, desde agora e para sempre;Somente os teus dias de festa;A tua casa e os teus bens;1;;;;;;rascunho (IA)
37913;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 133:1;Como começa o Salmo 133?;Louvai ao Senhor em seu santuário;Alegrei-me quando me disseram;Oh! como é bom e agradável viverem unidos os irmãos;Bendize, ó minha alma, ao Senhor;2;;;;;;rascunho (IA)
37914;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 133:2;A que a união dos irmãos é comparada no Salmo 133:2?;Ao trigo maduro nos campos;Ao vinho novo nos odres;Ao azeite das lâmpadas;Ao óleo precioso sobre a cabeça, que desce à barba de Arão;3;;;;;;rascunho (IA)
37915;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 133:3;A que orvalho a união dos irmãos é comparada no Salmo 133:3?;Ao orvalho do Hermom;Ao orvalho do Carmelo;Ao orvalho do Sinai;Ao orvalho do Jordão;0;;;;;;rascunho (IA)
37916;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 139:1;Como começa o Salmo 139?;Louvai ao Senhor, todas as nações;Senhor, tu me sondas e me conheces;Bendize, ó minha alma, ao Senhor;Ouve, ó Deus, o meu clamor;1;;;;;;rascunho (IA)
37917;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 139:7;Que pergunta o salmista faz no Salmo 139:7?;Quem me acusará diante de ti?;Onde está o teu santuário?;Para onde me ausentarei do teu Espírito?;Quando virá o meu livramento?;2;;;;;;rascunho (IA)
37918;SALMOS_LIVRO5;2026-08-22;IA (Claude);1;Salmos;AT;;;Sl 139:13;O que Deus formou, segundo o Salmo 139:13?;Os montes e os vales;As estrelas do céu;As nações da terra;O interior do salmista, tecendo-o no ventre de sua mãe;3;;;;;;rascunho (IA)
