"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"39000";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 1:1";"Os provérbios de quem, filho de Davi, rei de Israel, abrem este livro?";"Salomão";"Ezequias";"Davi";"Roboão";"0";"";"";"";"";"";"rascunho (IA)"
"39001";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 1:7";"O temor do Senhor é o princípio da...";"Ciência";"Vida";"Justiça";"Sabedoria";"0";"";"";"";"";"";"rascunho (IA)"
"39002";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 3:5";"Confia no Senhor de todo o teu coração, e não te estribes no teu próprio...";"Julgamento";"Saber";"Esforço";"Entendimento";"3";"";"";"";"";"";"rascunho (IA)"
"39003";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 3:9";"Honra ao Senhor com os teus bens, e com as...";"Dádivas voluntárias";"Primícias de toda a tua novidade";"Ofertas do teu coração";"Riquezas do teu trabalho";"1";"";"";"";"";"";"rascunho (IA)"
"39004";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 4:23";"Sobre tudo o que se deve guardar, guarda o teu...";"Coração";"Espírito";"Corpo";"Nome";"0";"";"";"";"";"";"rascunho (IA)"
"39005";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 6:6";"Vai-te à formiga, ó...";"Insensato";"Tolo";"Néscio";"Preguiçoso";"3";"";"";"";"";"";"rascunho (IA)"
"39006";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 9:10";"O princípio da sabedoria é o temor do...";"Rei";"Sábio";"Senhor";"Pai";"2";"";"";"";"";"";"rascunho (IA)"
"39007";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 10:1";"Um filho sábio alegra a seu pai, mas o filho insensato é a tristeza de sua...";"Vida";"Casa";"Mãe";"Família";"2";"";"";"";"";"";"rascunho (IA)"
"39008";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 10:12";"O ódio excita contendas, mas o amor cobre todas as...";"Faltas";"Transgressões";"Ofensas";"Culpas";"1";"";"";"";"";"";"rascunho (IA)"
"39009";"PROVERBIOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Provérbios";"AT";"";"";"Pv 11:1";"A balança enganosa é abominação ao Senhor, mas o peso justo é o seu...";"Contentamento";"Deleite";"Agrado";"Prazer";"1";"";"";"";"";"";"rascunho (IA)"
