"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"41000";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 1:1";"O livro de Eclesiastes é atribuído ao Pregador, filho de Davi, rei em...";"Jerusalém";"Israel";"Judá";"Sião";"0";"";"";"";"";"";"rascunho (IA)"
"41001";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 1:2";"O Pregador declara: vaidade de vaidades, tudo é...";"Vaidade";"Vão";"Fugaz";"Passageiro";"0";"";"";"";"";"";"rascunho (IA)"
"41002";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 1:9";"O que foi, isso é o que há de ser, e o que se fez, isso se fará, de modo que nada há de...";"Único";"Original";"Novo debaixo do sol";"Diferente";"2";"";"";"";"";"";"rascunho (IA)"
"41003";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 2:24";"Não há coisa melhor para o homem do que comer e beber, e fazer que a sua alma goze do...";"Bem";"Bem do seu trabalho";"Descanso";"Fruto do seu trabalho";"3";"";"";"";"";"";"rascunho (IA)"
"41004";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 3:1";"Tudo tem o seu tempo determinado, e há tempo para todo o propósito debaixo do...";"Sol";"Céu";"Firmamento";"Mundo";"0";"";"";"";"";"";"rascunho (IA)"
"41005";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 3:2";"Há tempo de nascer, e tempo de...";"Morrer";"Crescer";"Envelhecer";"Viver";"0";"";"";"";"";"";"rascunho (IA)"
"41006";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 3:4";"Há tempo de chorar, e tempo de...";"Alegrar";"Cantar";"Sorrir";"Rir";"3";"";"";"";"";"";"rascunho (IA)"
"41007";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 3:7";"Há tempo de estar calado, e tempo de...";"Ouvir";"Cantar";"Falar";"Gritar";"2";"";"";"";"";"";"rascunho (IA)"
"41008";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 3:11";"Deus fez tudo formoso em seu...";"Lugar";"Tempo";"Momento";"Devido tempo";"1";"";"";"";"";"";"rascunho (IA)"
"41009";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 4:9";"Melhor é serem dois do que...";"Sozinho";"Um";"Solitário";"Um só";"3";"";"";"";"";"";"rascunho (IA)"
"41010";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 4:12";"Um cordão de três dobras não se...";"Parte facilmente";"Corta facilmente";"Rompe facilmente";"Quebra depressa";"3";"";"";"";"";"";"rascunho (IA)"
"41011";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 5:10";"O que ama o dinheiro nunca se farta de...";"Prata";"Dinheiro";"Riquezas";"Bens";"1";"";"";"";"";"";"rascunho (IA)"
"41012";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 7:1";"Melhor é o bom nome do que o...";"Ouro fino";"Unguento precioso";"Perfume caro";"Tesouro";"1";"";"";"";"";"";"rascunho (IA)"
"41013";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 7:8";"Melhor é o fim das coisas do que o seu...";"Princípio";"Começo";"Início";"Meio";"1";"";"";"";"";"";"rascunho (IA)"
"41014";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 9:11";"A carreira não é dos...";"Sábios";"Ricos";"Ligeiros";"Fortes";"2";"";"";"";"";"";"rascunho (IA)"
"41015";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 11:1";"Lança o teu pão sobre as...";"Cidades";"Águas";"Terras";"Nações";"1";"";"";"";"";"";"rascunho (IA)"
"41016";"ECLESIASTES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Eclesiastes";"AT";"";"";"Ec 12:1";"Lembra-te do teu Criador nos dias da tua...";"Velhice";"Mocidade";"Vida";"Juventude e mocidade";"1";"";"";"";"";"";"rascunho (IA)"
