"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"43000";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 1:1";"O livro de Cantares é atribuído a qual rei de Israel?";"Davi";"Salomão";"Ezequias";"Josias";"1";"";"";"";"";"";"rascunho (IA)"
"43001";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 1:1";"O título ""Cântico dos cânticos"" indica que este é considerado o cântico...";"Mais excelente de todos";"Mais curto";"Mais triste";"Mais antigo";"0";"";"";"";"";"";"rascunho (IA)"
"43002";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct";"Quantos capítulos tem o livro de Cantares?";"Doze";"Vinte";"Cinco";"Oito";"3";"";"";"";"";"";"rascunho (IA)"
"43003";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 2:1";"A amada declara: eu sou a rosa de Sarom, o lírio dos...";"Jardins";"Campos";"Vales";"Montes";"2";"";"";"";"";"";"rascunho (IA)"
"43004";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 2:16";"A amada declara: o meu amado é meu, e eu sou...";"Sua";"Dele";"Do rei";"Da casa";"1";"";"";"";"";"";"rascunho (IA)"
"43005";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 8:6";"Cantares afirma que o amor é forte como a...";"Morte";"Rocha";"Tempestade";"Vida";"0";"";"";"";"";"";"rascunho (IA)"
"43006";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 8:7";"As muitas águas não podem apagar este amor, nem os rios...";"Levá-lo";"Detê-lo";"Afogá-lo";"Vencê-lo";"2";"";"";"";"";"";"rascunho (IA)"
"43007";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct";"Qual é o tema central do livro de Cantares?";"As guerras de Israel";"O amor entre um homem e uma mulher";"A criação do mundo";"As leis do templo";"1";"";"";"";"";"";"rascunho (IA)"
"43008";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 2:15";"Apanhai-nos as raposas, as raposinhas, que fazem mal às...";"Casas";"Vinhas";"Hortas";"Árvores";"1";"";"";"";"";"";"rascunho (IA)"
"43009";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 2:11";"Porque eis que passou o inverno, a chuva cessou e se...";"Acabou";"Findou";"Calou";"Foi";"3";"";"";"";"";"";"rascunho (IA)"
"43010";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct";"Na maioria das versões bíblicas cristãs, Cantares vem logo após qual livro?";"Provérbios";"Jó";"Salmos";"Eclesiastes";"3";"";"";"";"";"";"rascunho (IA)"
"43011";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 6:13";"Em Cantares, a jovem amada é chamada pelo nome de...";"Sidônia";"Sunamita";"Sulamita";"Samaritana";"2";"";"";"";"";"";"rascunho (IA)"
"43012";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 4:7";"O amado declara: tu és toda formosa, amiga minha, e em ti não há...";"Falta";"Mancha";"Engano";"Erro";"1";"";"";"";"";"";"rascunho (IA)"
"43013";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct 8:6";"A amada pede: põe-me como selo sobre o teu...";"Coração";"Peito";"Nome";"Braço";"0";"";"";"";"";"";"rascunho (IA)"
"43014";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Cantares";"AT";"";"";"Ct";"O livro de Cantares faz parte de qual parte da Bíblia?";"Evangelhos";"Cartas";"Novo Testamento";"Antigo Testamento";"3";"";"";"";"";"";"rascunho (IA)"
"43015";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 1:2";"A amada declara: melhor é o teu amor do que o...";"Mel";"Ouro";"Vinho";"Perfume";"2";"";"";"";"";"";"rascunho (IA)"
"43016";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 1:5";"A amada diz: eu sou morena e formosa, ó filhas de...";"Sião";"Jerusalém";"Judá";"Israel";"1";"";"";"";"";"";"rascunho (IA)"
"43017";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 2:2";"O amado declara: qual o lírio entre os espinhos, tal é a minha amiga entre as...";"Filhas";"Jovens";"Virgens";"Mulheres";"0";"";"";"";"";"";"rascunho (IA)"
"43018";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 2:3";"A amada declara: qual a macieira entre as árvores do bosque, tal é o meu amado entre os...";"Jovens";"Reis";"Homens";"Filhos";"3";"";"";"";"";"";"rascunho (IA)"
"43019";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 2:4";"A amada diz: levou-me à sala do banquete, e o seu estandarte sobre mim era o...";"Zelo";"Amor";"Favor";"Cuidado";"1";"";"";"";"";"";"rascunho (IA)"
"43020";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 2:7";"O refrão pede às filhas de Jerusalém que não despertem o amor até que...";"Amanheça";"Queira";"Chegue";"Floresça";"1";"";"";"";"";"";"rascunho (IA)"
"43021";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 2:12";"Aparecem as flores na terra, e a voz da rola ouve-se em nossa...";"Terra";"Cidade";"Aldeia";"Casa";"0";"";"";"";"";"";"rascunho (IA)"
"43022";"CANTARES_COMPLETO";"2026-09-02";"IA (Claude)";"2";"Cantares";"AT";"";"";"Ct 3:1";"A amada relata: de noite, em meu leito, busquei aquele a quem ama a minha...";"Casa";"Juventude";"Vida";"Alma";"3";"";"";"";"";"";"rascunho (IA)"
