"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"45000";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 1:1";"Isaías era filho de quem?";"Amoz";"Buzi";"Hilquias";"Josias";"0";"";"";"";"";"";"rascunho (IA)"
"45001";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 1:1";"Isaías profetizou nos dias de quais reis de Judá?";"Uzias, Jotão, Acaz e Ezequias";"Josias, Joacaz, Jeoiaquim e Zedequias";"Asa, Josafá, Jorão e Acazias";"Saul, Davi, Salomão e Roboão";"0";"";"";"";"";"";"rascunho (IA)"
"45002";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 1:3";"Segundo Isaías, o boi conhece o seu possuidor e o jumento...";"a voz do pastor";"o dono do rebanho";"a manjedoura do seu senhor";"o caminho de casa";"2";"";"";"";"";"";"rascunho (IA)"
"45003";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 1:18";"Ainda que os pecados do povo fossem como escarlata, ficariam...";"verdes como a relva";"vermelhos como sangue";"brancos como a neve";"escuros como a noite";"2";"";"";"";"";"";"rascunho (IA)"
"45004";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 2:4";"Isaías profetizou que as espadas seriam transformadas em quê?";"Arados";"Facas";"Machados";"Lanças";"0";"";"";"";"";"";"rascunho (IA)"
"45005";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 2:4";"E que as lanças seriam transformadas em quê?";"Podadeiras";"Enxadas";"Ancinhos";"Foices";"0";"";"";"";"";"";"rascunho (IA)"
"45006";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 5:2";"O que o dono da vinha esperava colher, mas colheu uvas bravas?";"Azeitonas";"Figos";"Trigo";"Uvas boas";"3";"";"";"";"";"";"rascunho (IA)"
"45007";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 6:1";"Isaías viu ao Senhor no ano em que morreu qual rei?";"Ezequias";"Acaz";"Uzias";"Jotão";"2";"";"";"";"";"";"rascunho (IA)"
"45008";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 6:2";"Os serafins cobriam o rosto e os pés e voavam com quantas asas?";"Duas";"Quatro";"Seis";"Oito";"0";"";"";"";"";"";"rascunho (IA)"
"45009";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 6:3";"O que os serafins clamavam uns aos outros?";"Santo, santo, santo é o Senhor dos Exércitos";"Glória a Deus nas alturas";"Bendito o que vem em nome do Senhor";"Aleluia, aleluia, aleluia";"0";"";"";"";"";"";"rascunho (IA)"
"45010";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 6:6";"O que um serafim tocou nos lábios de Isaías?";"Óleo santo";"Um ramo de hissopo";"Água pura";"Uma brasa viva";"3";"";"";"";"";"";"rascunho (IA)"
"45011";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 6:8";"Quem respondeu ""Eis-me aqui, envia-me a mim""?";"Elias";"Moisés";"Isaías";"Jeremias";"2";"";"";"";"";"";"rascunho (IA)"
"45012";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 7:14";"O Senhor daria como sinal que uma virgem conceberia e daria à luz um filho chamado...";"Emanuel";"Josué";"Ciro";"Salomão";"0";"";"";"";"";"";"rascunho (IA)"
"45013";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 7:14";"O nome Emanuel significa...";"Deus é fiel";"Deus conosco";"Deus salva";"Deus é grande";"1";"";"";"";"";"";"rascunho (IA)"
"45014";"ISAIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Isaías";"AT";"";"";"Is 9:6";"Segundo a profecia, um menino nasceria e um filho seria dado, sobre quem estaria o principado?";"Sobre seu trono";"Sobre sua mão";"Sobre seu ombro";"Sobre sua cabeça";"2";"";"";"";"";"";"rascunho (IA)"
