"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"47000";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 1:1";"Jeremias era filho de qual sacerdote?";"Hilquias";"Amoz";"Sadoque";"Hosaías";"0";"";"";"";"";"";"rascunho (IA)"
"47001";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 1:1";"Jeremias era natural de qual cidade sacerdotal?";"Siló";"Hebrom";"Betel";"Anatote";"3";"";"";"";"";"";"rascunho (IA)"
"47002";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 1:5";"Antes de Jeremias nascer, Deus disse que já o havia...";"Salvado";"Chamado por nome";"Amado";"Conhecido";"3";"";"";"";"";"";"rascunho (IA)"
"47003";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 1:6";"Jeremias respondeu ao chamado de Deus dizendo que não sabia falar, pois era ainda...";"Indigno";"Fraco";"Um menino";"Pecador";"2";"";"";"";"";"";"rascunho (IA)"
"47004";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 1:11";"Na primeira visão de Jeremias, Deus lhe mostrou um ramo de qual árvore?";"Amendoeira";"Oliveira";"Figueira";"Videira";"0";"";"";"";"";"";"rascunho (IA)"
"47005";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 1:13";"Na segunda visão, Jeremias viu uma panela...";"Fervendo, virada do lado do norte";"Quebrada";"Cheia de água";"Vazia";"0";"";"";"";"";"";"rascunho (IA)"
"47006";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 2:13";"Deus diz que o povo cavou cisternas rotas, que não retêm...";"Óleo";"Trigo";"Vinho";"Águas";"3";"";"";"";"";"";"rascunho (IA)"
"47007";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 5:1";"Deus manda percorrer as ruas de Jerusalém em busca de alguém que fizesse...";"Ofertas fiéis";"Justiça e buscasse a verdade";"Sacrifícios puros";"Orações sinceras";"1";"";"";"";"";"";"rascunho (IA)"
"47008";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 6:14";"Os falsos profetas curavam a ferida do povo levianamente, dizendo: paz, paz, quando não havia...";"Guerra";"Paz";"Perigo";"Fome";"1";"";"";"";"";"";"rascunho (IA)"
"47009";"JEREMIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Jeremias";"AT";"";"";"Jr 7:4";"O povo confiava em palavras enganosas, repetindo três vezes o nome de qual lugar como garantia falsa?";"Arca da Aliança";"Monte Sião";"Cidade Santa";"Templo do Senhor";"3";"";"";"";"";"";"rascunho (IA)"
