"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"55000";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:1";"Quem é o profeta que escreveu o livro de Oséias?";"Oséias";"Isaías";"Amós";"Joel";"0";"";"";"";"";"";"rascunho (IA)"
"55001";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:1";"Durante o reinado de qual rei de Israel Oséias iniciou seu ministério?";"Saul";"Jeroboão";"Salomão";"Acabe";"1";"";"";"";"";"";"rascunho (IA)"
"55002";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:2";"Que tipo de mulher Deus mandou Oséias desposar, como símbolo da infidelidade de Israel a Deus?";"Uma viúva rica";"Uma sacerdotisa pagã";"Uma mulher de prostituições";"Uma princesa estrangeira";"2";"";"";"";"";"";"rascunho (IA)"
"55003";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:3";"Qual era o nome da esposa de Oséias?";"Rute";"Ester";"Abigail";"Gomer";"3";"";"";"";"";"";"rascunho (IA)"
"55004";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:4";"Qual foi o nome do primeiro filho de Oséias, dado por ordem de Deus?";"Jezreel";"Emanuel";"Benjamim";"Efraim";"0";"";"";"";"";"";"rascunho (IA)"
"55005";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:6";"Qual foi o nome da filha de Oséias, cujo nome significa não compadecida?";"Dorcas";"Lo-Ruama";"Lo-Ami";"Noemi";"1";"";"";"";"";"";"rascunho (IA)"
"55006";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:9";"Qual foi o nome do segundo filho, cujo nome significa não meu povo?";"Lo-Ruama";"Emanuel";"Lo-Ami";"Jezreel";"2";"";"";"";"";"";"rascunho (IA)"
"55007";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 3:2";"O que Oséias usou para comprar de volta sua esposa, em Oséias 3?";"Ouro e trigo";"Ovelhas e bois";"Vestes e joias";"Prata e cevada";"3";"";"";"";"";"";"rascunho (IA)"
"55008";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 4:6";"Segundo Oséias 4:6, o que faltou ao povo, causando sua destruição?";"O conhecimento";"O dinheiro";"A força";"A beleza";"0";"";"";"";"";"";"rascunho (IA)"
"55009";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 6:6";"Em Oséias 6:6, o que o Senhor diz que quer, mais do que sacrifício?";"Exércitos";"Misericórdia";"Riqueza";"Templos";"1";"";"";"";"";"";"rascunho (IA)"
"55010";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 6:2";"Segundo Oséias 6:2, depois de quantos dias o Senhor promete dar vida ao povo?";"Ao primeiro dia";"Ao quadragésimo dia";"Ao terceiro dia";"Ao sétimo dia";"2";"";"";"";"";"";"rascunho (IA)"
"55011";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 8:7";"Em Oséias 8:7, o que o povo semeou, colhendo tormentas em troca?";"Espinhos";"Trigo";"Pedras";"Ventos";"3";"";"";"";"";"";"rascunho (IA)"
"55012";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 11:1";"Segundo Oséias 11:1, de onde Deus chamou a seu filho, quando Israel era menino?";"Do Egito";"Da Babilônia";"De Canaã";"Da Assíria";"0";"";"";"";"";"";"rascunho (IA)"
"55013";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 13:14";"Em Oséias 13:14, que pergunta desafiadora o Senhor faz à morte?";"Onde está o meu povo?";"Onde estão, ó morte, as tuas pragas?";"Por que me abandonaste?";"Quando virás me buscar?";"1";"";"";"";"";"";"rascunho (IA)"
"55014";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 14:1";"Segundo Oséias 14:1, a quem Israel é convidado a se converter?";"Ao sumo sacerdote";"Aos profetas";"Ao Senhor, seu Deus";"Ao rei de Judá";"2";"";"";"";"";"";"rascunho (IA)"
"55015";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:1";"Quantos capítulos tem o livro de Oséias?";"12";"16";"10";"14";"3";"";"";"";"";"";"rascunho (IA)"
"55016";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 1:1";"Oséias pertence a qual grupo de livros da Bíblia?";"Profetas menores";"Profetas maiores";"Livros poéticos";"Livros históricos";"0";"";"";"";"";"";"rascunho (IA)"
"55017";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 2:16";"Segundo Oséias 2:16, como o povo restaurado vai chamar a Deus, em vez de meu Baal?";"Meu senhor";"Meu marido";"Meu rei";"Meu pai";"1";"";"";"";"";"";"rascunho (IA)"
"55018";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 10:12";"Segundo Oséias 10:12, em que o povo é exortado a semear?";"Em riqueza";"Em guerra";"Em justiça";"Em silêncio";"2";"";"";"";"";"";"rascunho (IA)"
"55019";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 14:4";"Segundo Oséias 14:4, o que o Senhor promete sarar no seu povo?";"A sua pobreza";"A sua fome";"A sua doença física";"A sua perversão";"3";"";"";"";"";"";"rascunho (IA)"
"55020";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 12:3-4";"Em Oséias 12:3-4, com quem o texto lembra que Jacó lutou?";"Com o anjo";"Com um leão";"Com o rei do Egito";"Com seu irmão Esaú em combate";"0";"";"";"";"";"";"rascunho (IA)"
"55021";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 5:1";"Em Oséias 5:1, quais grupos são diretamente chamados a ouvir a repreensão do profeta?";"Apenas os estrangeiros";"Sacerdotes e a casa de Israel";"Apenas os reis";"Apenas os profetas";"1";"";"";"";"";"";"rascunho (IA)"
"55022";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 12:6";"Segundo Oséias 12:6, além de esperar em Deus sempre, o que mais o povo é exortado a guardar?";"O templo e o altar";"Os dízimos e as ofertas";"A beneficência e o juízo";"A lei e os profetas";"2";"";"";"";"";"";"rascunho (IA)"
"55023";"OSEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Oséias";"AT";"";"";"Os 14:5";"Em Oséias 14, a que flor o Senhor compara o florescimento de Israel restaurado?";"À rosa";"Ao girassol";"À violeta";"Ao lírio";"3";"";"";"";"";"";"rascunho (IA)"
