"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"59000";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 1:1";"Qual era a profissão de Amós antes de ser chamado por Deus?";"Sacerdote";"Pastor de ovelhas";"Escriba";"Soldado";"1";"";"";"";"";"";"rascunho (IA)"
"59001";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 1:1";"Amós era natural de qual cidade de Judá?";"Tecoa";"Hebrom";"Anatote";"Belém";"0";"";"";"";"";"";"rascunho (IA)"
"59002";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 1:1";"Amós profetizou nos dias de Uzias, rei de Judá, e de qual rei de Israel?";"Jeú";"Onri";"Jeroboão, filho de Joás";"Acabe";"2";"";"";"";"";"";"rascunho (IA)"
"59003";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 3:3";"Amós pergunta: andarão dois juntos, se não estiverem de...";"Mãos dadas";"Acordo";"Mesmo caminho";"Mesma opinião";"1";"";"";"";"";"";"rascunho (IA)"
"59004";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 3:7";"Certamente o Senhor Deus não fará coisa alguma, sem primeiro revelar o seu segredo aos seus servos, os...";"Reis";"Profetas";"Sacerdotes";"Anciãos";"1";"";"";"";"";"";"rascunho (IA)"
"59005";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 4:12";"Amós adverte Israel: prepara-te para te encontrares com o teu...";"Deus";"Juiz";"Senhor";"Rei";"0";"";"";"";"";"";"rascunho (IA)"
"59006";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 5:24";"Amós clama: corra o juízo como as águas, e a justiça como o ribeiro...";"Forte";"Perene";"Impetuoso";"Caudaloso";"2";"";"";"";"";"";"rascunho (IA)"
"59007";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 5:8";"Amós descreve Deus como aquele que fez as Plêiades e o...";"Zodíaco";"Sol";"Órion";"Firmamento";"2";"";"";"";"";"";"rascunho (IA)"
"59008";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 7:14";"Amós respondeu a Amazias: eu não sou profeta, nem filho de profeta, mas sou boieiro e cultivador de...";"Trigo";"Sicômoros";"Vinhas";"Oliveiras";"1";"";"";"";"";"";"rascunho (IA)"
"59009";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 7:10";"Qual sacerdote de Betel acusou Amós diante do rei Jeroboão?";"Hilquias";"Pasur";"Sadoque";"Amazias";"3";"";"";"";"";"";"rascunho (IA)"
"59010";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 8:11";"Amós profetizou dias de fome, não de pão nem de água, mas de ouvir as palavras do...";"Profeta";"Sacerdote";"Rei";"Senhor";"3";"";"";"";"";"";"rascunho (IA)"
"59011";"AMOS_COMPLETO";"2026-09-02";"IA (Claude)";"1";"Amós";"AT";"";"";"Am 9:11";"Deus prometeu levantar o tabernáculo caído de...";"Arão";"Moisés";"Davi";"Salomão";"2";"";"";"";"";"";"rascunho (IA)"
