"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"61000";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1";"Sobre qual nação é a visão do profeta Obadias?";"Edom";"Moabe";"Amom";"Assíria";"0";"";"";"";"";"";"rascunho (IA)"
"61001";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:2";"Como Deus disse que faria Edom entre as nações?";"Pequeno e desprezado";"Grande e temido";"Rico e próspero";"Sábio e respeitado";"0";"";"";"";"";"";"rascunho (IA)"
"61002";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:3";"O que enganou o coração de Edom, segundo Obadias?";"A soberba";"A tristeza";"O medo";"A pobreza";"0";"";"";"";"";"";"rascunho (IA)"
"61003";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:10";"Por causa de que violência Edom seria castigado?";"A violência feita ao seu irmão Jacó";"A violência contra os egípcios";"A violência contra os filisteus";"A violência contra a Assíria";"0";"";"";"";"";"";"rascunho (IA)"
"61004";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:15";"Que dia Obadias anuncia estar perto sobre todas as nações?";"O dia do Senhor";"O dia da colheita";"O dia do casamento";"O dia da festa";"0";"";"";"";"";"";"rascunho (IA)"
"61005";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:17";"Onde Obadias diz que haverá livramento?";"No monte Sião";"No monte Sinai";"No monte Carmelo";"No monte das Oliveiras";"0";"";"";"";"";"";"rascunho (IA)"
"61006";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:21";"A quem pertencerá o reino, segundo o versículo final do livro?";"Ao Senhor";"A um novo rei de Judá";"Aos salvadores humanos";"Ao povo de Edom";"0";"";"";"";"";"";"rascunho (IA)"
"61007";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:18";"A que a casa de Esaú é comparada, destinada a ser consumida?";"À palha";"Ao ferro";"À água";"À pedra";"0";"";"";"";"";"";"rascunho (IA)"
"61008";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:4";"A que ave Edom é comparado, mesmo sendo derrubado por Deus?";"À águia";"Ao corvo";"À pomba";"Ao abutre";"0";"";"";"";"";"";"rascunho (IA)"
"61009";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Obadias";"AT";"";"";"Ob 1:1";"O que foi enviado às nações, convocando-as para a guerra contra Edom?";"Um embaixador";"Um exército";"Uma carta";"Um profeta";"0";"";"";"";"";"";"rascunho (IA)"
"61010";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:3";"Onde Edom habitava, em sua soberba, segundo Obadias 1:3?";"Nas fendas das rochas, em alta morada";"Em vales férteis e abertos";"Em cidades muradas na planície";"Em tendas no deserto";"0";"";"";"";"";"";"rascunho (IA)"
"61011";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:6";"O que foi esquadrinhado quando os bens de Esaú foram saqueados?";"Os seus esconderijos";"Os seus templos";"Os seus exércitos";"Os seus livros";"0";"";"";"";"";"";"rascunho (IA)"
"61012";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:7";"Quem traiu e enganou Edom, expulsando-o de seus próprios limites?";"Os seus próprios confederados e aliados";"Os babilônios invasores";"Os egípcios vizinhos";"Os assírios conquistadores";"0";"";"";"";"";"";"rascunho (IA)"
"61013";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:9";"Quem ficaria atemorizado e seria exterminado na montanha de Esaú?";"Os valentes de Temã";"Os sacerdotes de Edom";"Os reis vizinhos";"Os profetas falsos";"0";"";"";"";"";"";"rascunho (IA)"
"61014";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:11";"O que Edom fez quando estrangeiros lançavam sortes sobre Jerusalém?";"Foi cúmplice, agindo como um deles";"Defendeu a cidade dos invasores";"Avisou o povo do perigo";"Ficou longe, sem participar";"0";"";"";"";"";"";"rascunho (IA)"
"61015";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:12";"O que Edom não devia ter feito no dia da desgraça de Judá?";"Alegrar-se e alargar a boca contra o povo";"Ajudar os refugiados judeus";"Enviar suprimentos a Jerusalém";"Orar pelo povo de Judá";"0";"";"";"";"";"";"rascunho (IA)"
"61016";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:16";"Que resultado do juízo é anunciado para todas as nações em 1:16?";"Beberão continuamente e serão como se nunca tivessem existido";"Beberão vinho novo em abundância";"Beberão da fonte da sabedoria";"Beberão leite e mel na terra prometida";"0";"";"";"";"";"";"rascunho (IA)"
"61017";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:18";"Além da casa de Esaú ser palha, a que mais Jacó e José são comparados?";"A fogo e a chama";"A água e a chuva";"A pedra e a rocha";"A vento e a tempestade";"0";"";"";"";"";"";"rascunho (IA)"
"61018";"OBADIAS_COMPLETO";"2026-09-01";"IA (Claude)";"2";"Obadias";"AT";"";"";"Ob 1:19";"Que território os do Sul de Judá possuiriam, segundo a promessa?";"A montanha de Esaú";"As planícies dos filisteus";"Os campos de Samaria";"A terra de Gileade";"0";"";"";"";"";"";"rascunho (IA)"
