"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"65000";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 1:1";"De que cidade era Miqueias, segundo o início do livro?";"Moresete";"Belém";"Jerusalém";"Samaria";"0";"";"";"";"";"";"rascunho (IA)"
"65001";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 1:1";"Sobre quais duas cidades Miqueias viu sua visão?";"Samaria e Jerusalém";"Nínive e Babilônia";"Belém e Nazaré";"Damasco e Tiro";"0";"";"";"";"";"";"rascunho (IA)"
"65002";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 4:3";"Em que as nações converterão suas espadas, segundo a promessa de paz?";"Em enxadas";"Em coroas";"Em altares";"Em cajados";"0";"";"";"";"";"";"rascunho (IA)"
"65003";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 5:2";"De que pequena cidade sairia aquele que seria Senhor em Israel?";"Belém Efrata";"Nazaré";"Jericó";"Hebrom";"0";"";"";"";"";"";"rascunho (IA)"
"65004";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 6:8";"Além de praticar a justiça, o que mais o Senhor pede do ser humano em 6:8?";"Amar a beneficência e andar humildemente com Deus";"Oferecer muitos sacrifícios";"Construir templos";"Jejuar todos os dias";"0";"";"";"";"";"";"rascunho (IA)"
"65005";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 7:19";"O que Deus promete fazer com os pecados do seu povo?";"Lançá-los nas profundezas do mar";"Escondê-los nas montanhas";"Guardá-los para sempre";"Espalhá-los pela terra";"0";"";"";"";"";"";"rascunho (IA)"
"65006";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 7:7";"Em quem Miqueias diz que vai esperar, mesmo em meio às dificuldades?";"No Senhor";"Nos príncipes";"Nos exércitos";"Nos profetas";"0";"";"";"";"";"";"rascunho (IA)"
"65007";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 4:4";"Debaixo do que cada um se assentará em paz, segundo a promessa?";"Sua videira e sua figueira";"Sua tenda e seu poço";"Seu altar e seu templo";"Sua muralha e sua torre";"0";"";"";"";"";"";"rascunho (IA)"
"65008";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 3:8";"De que Miqueias diz estar cheio para anunciar o pecado do povo?";"Da força do Espírito do Senhor";"De riquezas e prata";"De exércitos e armas";"De pergaminhos e leis";"0";"";"";"";"";"";"rascunho (IA)"
"65009";"MIQUEIAS_COMPLETO";"2026-09-01";"IA (Claude)";"1";"Miquéias";"AT";"";"";"Mq 6:4";"De onde Deus fez o povo subir, segundo o lembrete em Miquéias 6:4?";"Da terra do Egito";"Do deserto do Sinai";"Da Babilônia";"Da Assíria";"0";"";"";"";"";"";"rascunho (IA)"
