"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"69000";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 1:1";"Quem é o profeta que recebeu o peso anunciado no início do livro?";"Habacuque";"Sofonias";"Naum";"Ageu";"0";"";"";"";"";"";"rascunho (IA)"
"69001";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 1:2";"O que Habacuque clama repetidamente a Deus no início do livro?";"Violência";"Fome";"Guerra";"Traição";"0";"";"";"";"";"";"rascunho (IA)"
"69002";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 1:6";"Que nação Deus disse que estava suscitando para castigar o povo?";"Os caldeus";"Os egípcios";"Os assírios";"Os medos";"0";"";"";"";"";"";"rascunho (IA)"
"69003";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 2:2";"O que o Senhor mandou Habacuque escrever sobre tábuas?";"A visão";"A lei";"Os salmos";"As bênçãos";"0";"";"";"";"";"";"rascunho (IA)"
"69004";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 2:4";"Segundo Habacuque 2:4, como o justo viverá?";"Pela sua fé";"Pela sua força";"Pela sua riqueza";"Pela sua sabedoria";"0";"";"";"";"";"";"rascunho (IA)"
"69005";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 2:14";"Do que a terra se encherá, segundo a promessa?";"Do conhecimento da glória do Senhor";"De ouro e prata";"De trigo e vinho";"De paz e silêncio";"0";"";"";"";"";"";"rascunho (IA)"
"69006";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 2:20";"Onde o Senhor está, segundo o final do capítulo 2?";"No seu santo templo";"No deserto";"No monte Sinai";"Na arca da aliança";"0";"";"";"";"";"";"rascunho (IA)"
"69007";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 3:1";"Como é chamado o capítulo 3 de Habacuque?";"Oração do profeta Habacuque";"Lamento de Habacuque";"Visão de Habacuque";"Cântico de Moisés";"0";"";"";"";"";"";"rascunho (IA)"
"69008";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 3:18";"Apesar das dificuldades, no que Habacuque decide se alegrar?";"No Senhor";"Nas riquezas";"Nos exércitos";"Nas colheitas";"0";"";"";"";"";"";"rascunho (IA)"
"69009";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 3:19";"A que animal Habacuque compara a força de seus pés dados por Deus?";"Cervas";"Leões";"Águias";"Cavalos";"0";"";"";"";"";"";"rascunho (IA)"
"69010";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 1:8";"A que animais os cavalos dos caldeus são comparados em velocidade?";"Leopardos";"Cavalos árabes";"Camelos";"Touros";"0";"";"";"";"";"";"rascunho (IA)"
"69011";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 2:6";"De que Habacuque diz ai daquele que multiplica, mesmo não sendo seu?";"Bens e riquezas";"Filhos";"Terras";"Exércitos";"0";"";"";"";"";"";"rascunho (IA)"
"69012";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 3:3";"De onde Deus veio, segundo a visão de Habacuque 3:3?";"De Temã";"Do Egito";"Da Babilônia";"De Roma";"0";"";"";"";"";"";"rascunho (IA)"
"69013";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 2:19";"Do que é feito o ídolo que Habacuque ridiculariza por fora?";"Ouro e prata";"Ferro e bronze";"Barro e palha";"Madeira e pedra";"0";"";"";"";"";"";"rascunho (IA)"
"69014";"HABACUQUE_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Habacuque";"AT";"";"";"Hc 1:12";"Como Habacuque chama a Deus ao começar sua súplica no versículo 12?";"Meu Deus, meu Santo";"Meu Rei, meu Pai";"Meu Juiz, meu Senhor";"Meu Pastor, meu Guia";"0";"";"";"";"";"";"rascunho (IA)"
