"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"75000";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 1:8";"Entre que árvores estava o homem montado no cavalo vermelho, na visão de Zacarias?";"Murtas";"Oliveiras";"Cedros";"Palmeiras";"0";"";"";"";"";"";"rascunho (IA)"
"75001";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 1:18-19";"Na segunda visão de Zacarias, o que os quatro chifres representavam?";"Os quatro ventos do céu";"Os poderes que dispersaram Judá";"As nações vizinhas de Israel";"Os pecados do povo";"1";"";"";"";"";"";"rascunho (IA)"
"75002";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 3:3-4";"O que foi tirado de Josué, o sumo sacerdote, na visão de Zacarias?";"A coroa";"O bordão";"As vestes sujas";"O manto de pelos";"2";"";"";"";"";"";"rascunho (IA)"
"75003";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 3:1";"Quem se opôs a Josué, o sumo sacerdote, diante do anjo do Senhor?";"Um falso profeta";"O rei da Babilônia";"Um sacerdote pagão";"Satanás";"3";"";"";"";"";"";"rascunho (IA)"
"75004";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 4:2-3";"Na visão do castiçal de ouro, quantas oliveiras Zacarias viu ao lado dele?";"Duas";"Três";"Quatro";"Sete";"0";"";"";"";"";"";"rascunho (IA)"
"75005";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 4:6";"Segundo a palavra do Senhor a Zorobabel, como a obra seria realizada?";"Pela força do exército";"Não por força nem por violência, mas pelo Espírito do Senhor";"Por meio de alianças com outros povos";"Pelo poder do ouro e da prata";"1";"";"";"";"";"";"rascunho (IA)"
"75006";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 5:1-2";"O que Zacarias viu voando na sexta visão do livro?";"Uma águia";"Uma nuvem de fogo";"Um rolo";"Uma pomba";"2";"";"";"";"";"";"rascunho (IA)"
"75007";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 6:1-3";"Quantos carros saíram dentre os dois montes de metal, na visão de Zacarias?";"Dois";"Seis";"Doze";"Quatro";"3";"";"";"";"";"";"rascunho (IA)"
"75008";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 2:1-2";"O que o homem da terceira visão de Zacarias segurava na mão?";"Um cordel de medir";"Uma vara de pastor";"Um rolo escrito";"Uma balança";"0";"";"";"";"";"";"rascunho (IA)"
"75009";"ZACARIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Zacarias";"AT";"";"";"Zc 7:3";"O que os enviados de Betel perguntaram aos sacerdotes sobre o quinto mês?";"Se deviam reconstruir o templo";"Se deviam continuar jejuando e chorando";"Se deviam pagar tributo ao rei";"Se deviam voltar ao cativeiro";"1";"";"";"";"";"";"rascunho (IA)"
