"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"77000";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 1:1";"Quem é o autor do livro de Malaquias?";"O profeta Malaquias";"O profeta Isaías";"O rei Salomão";"O sacerdote Esdras";"0";"";"";"";"";"";"rascunho (IA)"
"77001";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 1:1";"Malaquias é o último livro de qual parte da Bíblia?";"Antigo Testamento";"Novo Testamento";"Pentateuco";"Evangelhos";"0";"";"";"";"";"";"rascunho (IA)"
"77002";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 1:2";"Segundo Malaquias, a quem Deus diz que amou, Jacó ou Esaú?";"Jacó";"Esaú";"Isaque";"Labão";"0";"";"";"";"";"";"rascunho (IA)"
"77003";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 1:8";"Que tipo de animais os sacerdotes ofereciam a Deus, desagradando-o?";"Animais cegos e coxos";"Animais gordos e perfeitos";"Animais comprados de estrangeiros";"Animais recém-nascidos";"0";"";"";"";"";"";"rascunho (IA)"
"77004";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 3:8";"Do que Deus acusa o povo de estar roubando, em Malaquias 3?";"Dízimos e ofertas";"Terras";"Rebanhos";"Ouro do templo";"0";"";"";"";"";"";"rascunho (IA)"
"77005";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 4:5";"Que profeta Deus promete enviar antes do grande e terrível Dia do Senhor?";"Elias";"Eliseu";"Jeremias";"Ezequiel";"0";"";"";"";"";"";"rascunho (IA)"
"77006";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 3:10";"Onde Malaquias diz que o povo deve trazer os dízimos?";"À casa do tesouro";"Ao templo de Jerusalém apenas";"Ao monte Sinai";"À casa dos sacerdotes";"0";"";"";"";"";"";"rascunho (IA)"
"77007";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 1:1";"Quantos capítulos tem o livro de Malaquias?";"4";"6";"3";"8";"0";"";"";"";"";"";"rascunho (IA)"
"77008";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 4:1";"Malaquias compara o Dia do Senhor a um forno que queima como o quê?";"Restolho";"Palha molhada";"Madeira verde";"Cinzas";"0";"";"";"";"";"";"rascunho (IA)"
"77009";"MALAQUIAS_COMPLETO";"2026-08-31";"IA (Claude)";"1";"Malaquias";"AT";"";"";"Ml 4:2";"Como Malaquias chama o Sol que trará cura em suas asas?";"Sol da Justiça";"Sol da Manhã";"Sol da Glória";"Sol da Verdade";"0";"";"";"";"";"";"rascunho (IA)"
