"id";"lote";"data_lote";"fonte";"nivel";"livro_biblico";"testamento";"categoria_ebd";"ebd_versao";"referencia";"pergunta_pt";"alternativa_pt_a";"alternativa_pt_b";"alternativa_pt_c";"alternativa_pt_d";"resposta_correta";"pergunta_en";"alternativa_en_a";"alternativa_en_b";"alternativa_en_c";"alternativa_en_d";"status_revisao"
"81000";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 1:6";"De que se alimentava João Batista no deserto, segundo Marcos?";"Pão e vinho";"Peixe e azeite";"Gafanhotos e mel silvestre";"Figos e tâmaras";"2";"";"";"";"";"";"rascunho (IA)"
"81001";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 1:9";"Quem batizou Jesus no rio Jordão?";"João Batista";"Pedro";"André";"Filipe";"0";"";"";"";"";"";"rascunho (IA)"
"81002";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 1:16-17";"Quais irmãos pescadores Jesus chamou primeiro, segundo Marcos?";"Tiago e João";"Simão e André";"Filipe e Natanael";"Mateus e Tomé";"1";"";"";"";"";"";"rascunho (IA)"
"81003";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 1:30-31";"De que Jesus curou a sogra de Pedro?";"De cegueira";"De febre";"De lepra";"De paralisia";"1";"";"";"";"";"";"rascunho (IA)"
"81004";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 2:3-4";"Como os amigos do paralítico o levaram até Jesus?";"Pela porta da frente";"Descendo-o pelo telhado";"Pela janela";"Por um túnel";"1";"";"";"";"";"";"rascunho (IA)"
"81005";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 4:39";"O que Jesus disse ao mar para acalmar a tempestade?";"Cala-te, emudece";"Afasta-te de mim";"Não temas, apenas crê";"Eu sou o caminho";"0";"";"";"";"";"";"rascunho (IA)"
"81006";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 5:2";"Onde morava o homem com o espírito imundo que Jesus libertou?";"Numa caverna do monte";"Entre os sepulcros";"Numa casa abandonada";"Junto ao poço";"1";"";"";"";"";"";"rascunho (IA)"
"81007";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 5:9";"Que nome o espírito imundo deu a si mesmo?";"Belzebu";"Legião";"Apoliom";"Mamom";"1";"";"";"";"";"";"rascunho (IA)"
"81008";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 5:41";"Que palavras Jesus disse à filha de Jairo ao ressuscitá-la?";"Lázaro, sai para fora";"Talita cumi";"Efatá";"Levanta-te e anda";"1";"";"";"";"";"";"rascunho (IA)"
"81009";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 6:38";"Quantos pães havia quando Jesus alimentou os cinco mil?";"Dois";"Cinco";"Sete";"Doze";"1";"";"";"";"";"";"rascunho (IA)"
"81010";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 6:38";"Quantos peixes havia junto com os pães na alimentação dos cinco mil?";"Um";"Dois";"Três";"Cinco";"1";"";"";"";"";"";"rascunho (IA)"
"81011";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 6:48-49";"O que os discípulos pensaram ser Jesus ao vê-lo andando sobre o mar?";"Um anjo";"Um fantasma";"Um pescador";"Um profeta";"1";"";"";"";"";"";"rascunho (IA)"
"81012";"MARCOS_COMPLETO";"2026-08-22";"IA (Claude)";"1";"Marcos";"NT";"";"";"Mc 7:34";"Que palavra Jesus disse ao curar o surdo-mudo?";"Efatá";"Talita cumi";"Hosana";"Maranata";"0";"";"";"";"";"";"rascunho (IA)"
