id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
83000;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 1:26-27;Qual anjo apareceu a Maria para anunciar o nascimento de Jesus?;Miguel;Gabriel;Rafael;Uriel;1;;;;;;rascunho (IA)
83001;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 1:13;A quem o anjo anunciou o nascimento de João Batista?;A Maria;A José;A Zacarias;A Isabel;2;;;;;;rascunho (IA)
83002;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 1:60;Que nome Isabel deu ao seu filho recém-nascido?;Zacarias;Samuel;João;Elias;2;;;;;;rascunho (IA)
83003;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 1:64;O que aconteceu com Zacarias depois que João nasceu?;Ficou surdo;Sua boca se abriu e falou;Ficou cego;Adoeceu gravemente;1;;;;;;rascunho (IA)
83004;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:1;Quem ordenou o recenseamento que levou José e Maria a Belém?;Herodes;Pilatos;César Augusto;Tibério;2;;;;;;rascunho (IA)
83005;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:7;Onde Maria colocou Jesus recém-nascido?;Numa cama;Numa manjedoura;No colo de José;Num berço de ouro;1;;;;;;rascunho (IA)
83006;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:8;Quem estava no campo, de noite, guardando o rebanho quando Jesus nasceu?;Os magos;Os sacerdotes;Os pastores;Os soldados;2;;;;;;rascunho (IA)
83007;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:10;O que o anjo anunciou aos pastores?;Grande alegria para todo o povo;Um novo rei em Roma;A vinda do juízo final;Uma grande tempestade;0;;;;;;rascunho (IA)
83008;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:13-14;O que a multidão de anjos cantou aos pastores?;Aleluia, Aleluia;Hosana nas alturas;Glória a Deus nas alturas;Santo, santo, santo;2;;;;;;rascunho (IA)
83009;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:25;Que homem idoso e piedoso, em Jerusalém, aguardava a consolação de Israel?;Simeão;Zacarias;Nicodemos;José de Arimateia;0;;;;;;rascunho (IA)
83010;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:36;Que profetisa idosa também estava no templo quando Jesus foi apresentado?;Débora;Ana;Rute;Ester;1;;;;;;rascunho (IA)
83011;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 2:42;Com que idade Jesus ficou no templo enquanto seus pais voltavam sem ele?;Sete anos;Dez anos;Doze anos;Quinze anos;2;;;;;;rascunho (IA)
83012;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 3:21;O que aconteceu com Jesus no rio Jordão?;Foi tentado;Foi batizado;Pregou às multidões;Curou um cego;1;;;;;;rascunho (IA)
83013;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 4:16;Em que cidade Jesus leu as Escrituras na sinagoga, sendo sua terra natal?;Belém;Cafarnaum;Nazaré;Jerusalém;2;;;;;;rascunho (IA)
83014;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 5:4-6;O que aconteceu quando Pedro lançou as redes por ordem de Jesus?;Nada foi pescado;Uma grande quantidade de peixes foi pega;A rede rasgou vazia;O barco afundou;1;;;;;;rascunho (IA)
83015;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 5:19;Por onde os amigos desceram o paralítico até Jesus, não achando outro caminho?;Pela porta;Pelo telhado;Pela janela;Pelo pátio;1;;;;;;rascunho (IA)
83016;LUCAS_COMPLETO;2026-08-22;IA (Claude);1;Lucas;NT;;;Lc 6:13;O que Jesus fez antes de escolher os doze apóstolos?;Jejuou sete dias;Orou a noite toda no monte;Consultou os escribas;Foi ao templo;1;;;;;;rascunho (IA)
