id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
87000;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 1:12;De que monte os discípulos voltaram após Jesus ser elevado ao céu?;Monte Sinai;Monte das Oliveiras;Monte Carmelo;Monte Hermom;1;;;;;;rascunho (IA)
87001;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 1:26;Quem foi escolhido para ocupar o lugar de Judas Iscariotes entre os apóstolos?;Barnabé;Estêvão;Matias;Silas;2;;;;;;rascunho (IA)
87002;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 2:1;Em que dia o Espírito Santo desceu sobre os discípulos reunidos?;No dia de Pentecostes;No dia da Páscoa;No dia da Expiação;No dia dos Tabernáculos;0;;;;;;rascunho (IA)
87003;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 2:3;O que apareceu sobre cada um dos discípulos no dia de Pentecostes?;Uma nuvem luminosa;Línguas repartidas como de fogo;Uma coluna de luz;Uma pomba branca;1;;;;;;rascunho (IA)
87004;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 2:41;Cerca de quantas pessoas foram batizadas no dia de Pentecostes?;Mil;Duas mil;Três mil;Cinco mil;2;;;;;;rascunho (IA)
87005;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 3:6-7;Quem curou o homem coxo à porta do templo chamada Formosa?;Pedro;Estêvão;Filipe;Paulo;0;;;;;;rascunho (IA)
87006;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 7:58-60;Quem foi o primeiro mártir da igreja cristã?;Tiago;Estêvão;Barnabé;Silas;1;;;;;;rascunho (IA)
87007;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 7:58;Como Estêvão foi morto?;Foi crucificado;Foi apedrejado;Foi decapitado;Foi lançado aos leões;1;;;;;;rascunho (IA)
87008;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 7:58;Quem guardava as roupas dos que apedrejaram Estêvão?;Saulo;Barnabé;Cornélio;Ananias;0;;;;;;rascunho (IA)
87009;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 9:3;Em que caminho Saulo foi convertido, ao ver uma luz do céu?;No caminho de Damasco;No caminho de Jericó;No caminho de Emaús;No caminho de Gaza;0;;;;;;rascunho (IA)
87010;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 9:8;O que aconteceu com Saulo logo após o encontro com Jesus no caminho?;Ficou mudo;Ficou surdo;Ficou cego;Desmaiou por três dias;2;;;;;;rascunho (IA)
87011;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 9:17;Quem impôs as mãos sobre Saulo para que ele recuperasse a visão?;Pedro;Barnabé;Ananias;Filipe;2;;;;;;rascunho (IA)
87012;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 5:1-5;Qual casal mentiu ao Espírito Santo sobre o valor do campo vendido?;Áquila e Priscila;Ananias e Safira;Zacarias e Isabel;Cornélio e sua esposa;1;;;;;;rascunho (IA)
87013;ATOS_COMPLETO;2026-08-22;IA (Claude);1;Atos;NT;;;At 9:40;Quem Pedro ressuscitou na cidade de Jope?;Dorcas (Tabita);Lídia;Rode;Priscila;0;;;;;;rascunho (IA)
