id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
89000;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 1:1;Quem escreveu a carta aos Romanos?;Pedro;Paulo;Tiago;João;1;;;;;;rascunho (IA)
89001;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 1:7;A quem a carta aos Romanos é endereçada?;Aos que estão em Roma;Aos que estão em Corinto;Aos que estão em Éfeso;Aos que estão em Filipos;0;;;;;;rascunho (IA)
89002;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 3:23;Segundo Romanos 3, quantos pecaram e estão destituídos da glória de Deus?;Apenas os gentios;Apenas os que não creem;Todos;Somente os incrédulos;2;;;;;;rascunho (IA)
89003;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 6:23;Segundo Paulo, qual é o salário do pecado?;A morte;A doença;A pobreza;A escravidão;0;;;;;;rascunho (IA)
89004;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 6:23;Qual é o dom gratuito de Deus, segundo Romanos 6:23?;A prosperidade;A vida eterna;A sabedoria;A paz do mundo;1;;;;;;rascunho (IA)
89005;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 5:8;Quando Cristo morreu por nós, segundo Romanos 5:8?;Depois de nos arrependermos;Sendo nós ainda pecadores;Depois de guardarmos a lei;Quando já éramos justos;1;;;;;;rascunho (IA)
89006;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 8:28;Para quem todas as coisas contribuem juntamente para o bem?;Para os que amam a Deus;Para os que guardam a lei;Para os mais fiéis apenas;Para os sacerdotes;0;;;;;;rascunho (IA)
89007;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 10:9;O que Paulo diz que se deve confessar com a boca para ser salvo?;Todos os pecados cometidos;Ao Senhor Jesus;A lei de Moisés;Os nomes dos apóstolos;1;;;;;;rascunho (IA)
89008;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 10:13;Quem será salvo, segundo Romanos 10:13?;Somente os judeus;Todo aquele que invocar o nome do Senhor;Apenas os batizados;Somente os que jejuam;1;;;;;;rascunho (IA)
89009;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 12:2;Como Paulo diz que devemos ser transformados?;Pela renovação do entendimento;Pela guarda dos rituais;Pelo esforço próprio;Pela tradição dos pais;0;;;;;;rascunho (IA)
89010;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 1:16;Do que Paulo declarou não se envergonhar?;Do templo de Jerusalém;Do evangelho de Cristo;Da sua origem judaica;Das suas correntes;1;;;;;;rascunho (IA)
89011;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 8:31;Se Deus é por nós, quem poderá ser contra nós, segundo Paulo?;Ninguém;Somente o inimigo;Os poderosos deste mundo;Os anjos caídos;0;;;;;;rascunho (IA)
89012;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 12:1;O que Paulo pede que apresentemos a Deus?;Nossas ofertas de dinheiro;Nossos corpos em sacrifício vivo;Nossos animais no altar;Nossos jejuns diários;1;;;;;;rascunho (IA)
89013;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 8:1;Para quem não há condenação, segundo Romanos 8:1?;Para os que estão em Cristo Jesus;Para os que nunca pecaram;Para os que guardam o sábado;Para os que jejuam sempre;0;;;;;;rascunho (IA)
89014;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 12:21;Com que Paulo manda vencer o mal?;Com a força;Com a lei;Com o bem;Com o silêncio;2;;;;;;rascunho (IA)
89015;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 10:17;De onde vem a fé, segundo Paulo?;Do ouvir a palavra de Deus;Do esforço pessoal;Das boas obras;Da tradição dos pais;0;;;;;;rascunho (IA)
89016;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 5:1;O que temos com Deus, sendo justificados pela fé?;Riquezas;Paz;Poder;Sabedoria;1;;;;;;rascunho (IA)
89017;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 13:1;A quem Paulo mandou que toda alma se sujeitasse?;Aos sacerdotes;Aos apóstolos;Às autoridades superiores;Aos anciãos da sinagoga;2;;;;;;rascunho (IA)
89018;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 1:17;Segundo Romanos 1:17, o justo viverá de quê?;Da lei;Das obras;Da fé;Da sabedoria;2;;;;;;rascunho (IA)
89019;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 8:38-39;O que Paulo declarou que nada pode fazer, em Romanos 8?;Separar-nos do amor de Deus;Impedir a pregação;Apagar a lei;Deter os apóstolos;0;;;;;;rascunho (IA)
89020;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 4:3;Quem creu em Deus e isso lhe foi imputado como justiça?;Moisés;Davi;Abraão;Isaque;2;;;;;;rascunho (IA)
89021;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 5:12;Por meio de quem o pecado entrou no mundo, segundo Romanos 5?;De um só homem;Dos anjos caídos;Dos reis pagãos;Da própria lei;0;;;;;;rascunho (IA)
89022;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 16:22;Quem se identifica como o escrivão que escreveu a carta aos Romanos?;Timóteo;Tércio;Erasto;Quarto;1;;;;;;rascunho (IA)
89023;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 12:15;O que Paulo mandou fazer com os que se alegram?;Alegrar-se com eles;Advertir-lhes;Afastar-se deles;Corrigi-los;0;;;;;;rascunho (IA)
89024;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 8:37;O que somos em todas essas coisas, por aquele que nos amou?;Servos fiéis;Mais que vencedores;Herdeiros da lei;Amigos de Deus;1;;;;;;rascunho (IA)
89025;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 3:10;Quantos justos há, segundo a citação de Romanos 3:10?;Muito poucos;Somente os patriarcas;Nem um sequer;Apenas os profetas;2;;;;;;rascunho (IA)
89026;ROMANOS_COMPLETO;2026-08-22;IA (Claude);1;Romanos;NT;;;Rm 15:24;Para que região Paulo planejava viajar, passando por Roma?;Espanha;Egito;Grécia;Síria;0;;;;;;rascunho (IA)
89027;ROMANOS_COMPLETO;2026-08-22;IA (Claude);2;Romanos;NT;;;Rm 1:1;Como Paulo se apresenta na abertura da carta aos Romanos?;Como profeta de Israel;Como servo de Jesus Cristo, chamado para apóstolo;Como doutor da lei;Como cidadão de Roma;1;;;;;;rascunho (IA)
89028;ROMANOS_COMPLETO;2026-08-22;IA (Claude);2;Romanos;NT;;;Rm 1:3;De quem Jesus descendeu segundo a carne, conforme Romanos 1?;De Abraão;De Levi;De Davi;De Benjamim;2;;;;;;rascunho (IA)
89029;ROMANOS_COMPLETO;2026-08-22;IA (Claude);2;Romanos;NT;;;Rm 1:20;O que se pode entender por meio das coisas criadas, segundo Paulo?;O eterno poder e divindade de Deus;O caminho da salvação;A lei de Moisés;O plano do juízo final;0;;;;;;rascunho (IA)
89030;ROMANOS_COMPLETO;2026-08-22;IA (Claude);2;Romanos;NT;;;Rm 1:25;O que os homens trocaram pela mentira, segundo Romanos 1?;A esperança de Israel;A verdade de Deus;A aliança dos pais;A glória dos profetas;1;;;;;;rascunho (IA)
