id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
91000;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 1:1;Quem escreveu a primeira carta aos Coríntios?;Pedro;Paulo;Apolo;Tiago;1;;;;;;rascunho (IA)
91001;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 1:2;A quem a primeira carta aos Coríntios é endereçada?;Às igrejas da Galácia;À igreja de Deus que está em Corinto;Aos irmãos de Éfeso;Aos santos em Roma;1;;;;;;rascunho (IA)
91002;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 13:13;Quais três coisas permanecem, segundo 1 Coríntios 13:13?;O jejum, a oração e a esmola;A justiça, a paz e a alegria;A lei, a promessa e a graça;A fé, a esperança e o amor;3;;;;;;rascunho (IA)
91003;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 13:13;Qual é a maior das três coisas que permanecem, segundo Paulo?;A esperança;O amor;Todas são iguais;A fé;1;;;;;;rascunho (IA)
91004;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 13:2;Segundo 1 Coríntios 13, quem tem toda a fé mas não tem amor, o que é?;Nada;Um servo fiel;Um mestre da lei;Um profeta menor;0;;;;;;rascunho (IA)
91005;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 12:27;O que Paulo diz que os crentes são, em relação a Cristo?;Os embaixadores de Cristo;O corpo de Cristo;Os servos de Cristo;Os amigos de Cristo;1;;;;;;rascunho (IA)
91006;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 11:23-24;O que Jesus tomou e partiu na noite em que foi traído?;O cordeiro;O vinho;O peixe;O pão;3;;;;;;rascunho (IA)
91007;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 11:25;O que o cálice representa, segundo Paulo?;A nova aliança no sangue de Jesus;A promessa feita a Abraão;A lei de Moisés;A antiga aliança;0;;;;;;rascunho (IA)
91008;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 15:4;Ao terceiro dia, o que aconteceu com Cristo, segundo 1 Coríntios 15?;Foi sepultado;Ressuscitou;Subiu ao céu;Apareceu a Paulo;1;;;;;;rascunho (IA)
91009;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 3:6;Quem plantou e quem regou, segundo Paulo em 1 Coríntios 3?;Timóteo plantou e Tito regou;Pedro plantou e Paulo regou;Paulo plantou e Apolo regou;Apolo plantou e Cefas regou;2;;;;;;rascunho (IA)
91010;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 3:6;Quem deu o crescimento, segundo Paulo em 1 Coríntios 3?;Deus;Os coríntios;Paulo;Apolo;0;;;;;;rascunho (IA)
91011;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 6:19;De quem o corpo do crente é templo, segundo Paulo?;Do Espírito Santo;Da lei;Da igreja;Dos anjos;0;;;;;;rascunho (IA)
91012;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 10:31;Para que devemos fazer tudo, seja comer ou beber?;Para a glória de Deus;Para o bem próprio;Para o exemplo dos fracos;Para o crescimento da igreja;0;;;;;;rascunho (IA)
91013;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 1:18;Para os que se perdem, o que é a palavra da cruz?;Mistério;Sabedoria;Loucura;Poder;2;;;;;;rascunho (IA)
91014;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 12:12;A que Paulo compara a igreja com seus muitos membros?;A um corpo;A um edifício;A um exército;A um rebanho;0;;;;;;rascunho (IA)
91015;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 15:55;O que Paulo pergunta à morte, em 1 Coríntios 15?;Quando virá o teu fim;Quem te venceu;Por que ainda reinas;Onde está o teu aguilhão;3;;;;;;rascunho (IA)
91016;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 16:19;Qual casal enviou saudações junto com a igreja que se reunia em sua casa?;Ananias e Safira;Áquila e Priscila;Zacarias e Isabel;Filemom e Áfia;1;;;;;;rascunho (IA)
91017;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 1:12;Que divisões havia em Corinto quanto aos líderes seguidos?;Uns seguiam Pedro, outros Judas;Uns diziam ser de Paulo, outros de Apolo ou de Cefas;Uns seguiam Moisés, outros Elias;Uns seguiam os fariseus, outros os saduceus;1;;;;;;rascunho (IA)
91018;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 5:7;Quem Paulo diz ser a nossa páscoa, sacrificada por nós?;O cordeiro do templo;João Batista;Cristo;Moisés;2;;;;;;rascunho (IA)
91019;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 9:24;A que Paulo compara a vida cristã em 1 Coríntios 9?;A uma corrida;A uma colheita;A uma construção;A uma batalha;0;;;;;;rascunho (IA)
91020;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 14:40;Como Paulo mandou que tudo fosse feito na igreja?;Rapidamente;Em silêncio total;Decentemente e com ordem;Somente pelos anciãos;2;;;;;;rascunho (IA)
91021;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 12:4;Do que há diversidade, mas o mesmo Espírito, segundo Paulo?;De igrejas;De dons;De leis;De línguas;1;;;;;;rascunho (IA)
91022;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 16:2;Em que dia da semana os crentes deviam separar a sua oferta?;No último dia do mês;Em todos os dias;No sábado;No primeiro dia da semana;3;;;;;;rascunho (IA)
91023;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 3:16;O que Paulo diz que os crentes são, onde o Espírito de Deus habita?;Servos de Deus;Herdeiros de Deus;Testemunhas de Deus;Templo de Deus;3;;;;;;rascunho (IA)
91024;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 6:20;Por que devemos glorificar a Deus no nosso corpo?;Porque fomos comprados por bom preço;Porque a lei assim ordena;Porque os anjos observam;Porque o templo foi destruído;0;;;;;;rascunho (IA)
91025;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 15:6;A cerca de quantos irmãos Cristo apareceu de uma só vez?;Mais de mil;Cerca de cem;Cerca de duzentos;Mais de quinhentos;3;;;;;;rascunho (IA)
91026;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);1;1 Coríntios;NT;;;1Co 2:2;O que Paulo resolveu não saber entre os coríntios?;Nada sobre a filosofia grega;Nada sobre as tradições judaicas;Nada, senão Jesus Cristo e este crucificado;Nada sobre a lei de Moisés;2;;;;;;rascunho (IA)
91027;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 1:1;Quem é citado junto com Paulo na saudação de 1 Coríntios?;Sóstenes;Silvano;Tito;Timóteo;0;;;;;;rascunho (IA)
91028;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 1:14;Quais duas pessoas Paulo lembra ter batizado em Corinto?;Crispo e Gaio;Áquila e Priscila;Estéfanas e Fortunato;Erasto e Quarto;0;;;;;;rascunho (IA)
91029;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 1:22;O que os judeus pedem e o que os gregos buscam, segundo Paulo?;Templo e sacrifício;Sinal e sabedoria;Lei e tradição;Riqueza e poder;1;;;;;;rascunho (IA)
91030;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 1:27;Que coisas Deus escolheu para confundir os sábios?;As antigas do mundo;As ricas do mundo;As loucas do mundo;As nobres do mundo;2;;;;;;rascunho (IA)
91031;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 2:9;O que olho não viu nem ouvido ouviu, segundo Paulo?;Os juízos reservados aos ímpios;Os mistérios guardados pelos anjos;As profecias ainda não reveladas;As coisas que Deus preparou para os que o amam;3;;;;;;rascunho (IA)
91032;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 3:2;Com que Paulo alimentou os coríntios, por não poderem ainda com carne?;Com leite;Com mel;Com pão;Com água;0;;;;;;rascunho (IA)
91033;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 3:11;Qual é o único fundamento que se pode pôr, segundo Paulo?;A fé dos patriarcas;A lei de Moisés;Jesus Cristo;O ensino dos apóstolos;2;;;;;;rascunho (IA)
91034;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 3:12;Que materiais Paulo cita ao falar do que se edifica sobre o fundamento?;Cedro, oliveira, bronze e ferro;Linho, lã, púrpura e escarlata;Ouro, prata, pedras preciosas, madeira, feno e palha;Pedra, barro, cal e areia;2;;;;;;rascunho (IA)
91035;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 4:2;O que se requer dos despenseiros, segundo Paulo?;Que sejam sábios;Que sejam ricos;Que sejam eloquentes;Que sejam fiéis;3;;;;;;rascunho (IA)
91036;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 5:6;O que um pouco de fermento faz, segundo Paulo?;Leveda toda a massa;Purifica a massa;Endurece a massa;Não altera a massa;0;;;;;;rascunho (IA)
91037;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 6:2;Quem julgará o mundo, segundo 1 Coríntios 6?;Os profetas;Os anjos;Os santos;Os apóstolos;2;;;;;;rascunho (IA)
91038;1CORINTIOS_COMPLETO;2026-08-22;IA (Claude);2;1 Coríntios;NT;;;1Co 6:3;O que Paulo diz que os santos julgarão, além do mundo?;Os reis;As leis;Os anjos;As nações;2;;;;;;rascunho (IA)
