id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
95000;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 1:1;Quem escreveu a carta aos Gálatas?;Paulo;Pedro;Tiago;Barnabé;0;;;;;;rascunho (IA)
95001;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 5:22;Qual é a primeira qualidade citada como fruto do Espírito?;Mansidão;Amor;Paz;Bondade;1;;;;;;rascunho (IA)
95002;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 5:22-23;Quantas qualidades compõem o fruto do Espírito em Gálatas 5?;Doze;Cinco;Sete;Nove;3;;;;;;rascunho (IA)
95003;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 2:20;Com quem Paulo declara estar crucificado?;Com os apóstolos;Com os profetas;Com a lei;Com Cristo;3;;;;;;rascunho (IA)
95004;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 6:7;O que o homem colherá, segundo Gálatas 6:7?;Aquilo que semear;Sempre o dobro;Somente o bem;Nada, se não crer;0;;;;;;rascunho (IA)
95005;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 3:28;Em Cristo Jesus, o que Paulo diz que todos são?;Servos de Deus;Um;Livres da lei;Herdeiros de Abraão;1;;;;;;rascunho (IA)
95006;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 5:1;Para que Cristo nos libertou, segundo Gálatas 5:1?;Para a herança;Para o serviço;Para a liberdade;Para o descanso;2;;;;;;rascunho (IA)
95007;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 4:4;Quando Deus enviou o seu Filho ao mundo, segundo Gálatas?;No princípio de tudo;Depois dos profetas;Antes da lei;Na plenitude dos tempos;3;;;;;;rascunho (IA)
95008;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 6:2;O que Paulo manda que levemos uns dos outros?;As cargas;As ofertas;As cartas;As dúvidas;0;;;;;;rascunho (IA)
95009;GALATAS_COMPLETO;2026-08-22;IA (Claude);1;Gálatas;NT;;;Gl 6:9;Do que Paulo manda que não nos cansemos?;De esperar o Senhor;De fazer o bem;De guardar a lei;De pregar aos gentios;1;;;;;;rascunho (IA)
95010;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 1:1;Como Paulo se apresenta na abertura de Gálatas?;Mestre enviado por Jerusalém;Companheiro de Barnabé;Apóstolo não da parte dos homens, mas por Jesus Cristo e Deus Pai;Servo escolhido dos doze;2;;;;;;rascunho (IA)
95011;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 1:8;O que Paulo diz que aconteça a quem pregar outro evangelho?;Seja advertido;Seja recebido com paciência;Seja levado aos anciãos;Seja anátema;3;;;;;;rascunho (IA)
95012;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 2:16;Como o homem é justificado, segundo Gálatas 2:16?;Pela fé em Jesus Cristo, e não pelas obras da lei;Pelas obras da lei somente;Pela circuncisão e pelo sábado;Pelo sacrifício no templo;0;;;;;;rascunho (IA)
95013;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 2:20;Quem Paulo declara que vive nele, já não vivendo ele próprio?;A promessa de Abraão;Cristo;O Espírito da lei;A esperança dos pais;1;;;;;;rascunho (IA)
95014;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 3:11;Segundo a citação de Gálatas 3:11, o justo viverá de quê?;Das obras;Da promessa;Da fé;Da lei;2;;;;;;rascunho (IA)
95015;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 3:24;O que a lei foi para nós, até que Cristo viesse?;Nosso juiz;Nosso inimigo;Nosso herdeiro;Nosso aio;3;;;;;;rascunho (IA)
95016;GALATAS_COMPLETO;2026-08-22;IA (Claude);2;Gálatas;NT;;;Gl 3:28;Que distinções Paulo declara não existirem em Cristo Jesus?;Nem judeu nem grego, nem servo nem livre, nem homem nem mulher;Nem rico nem pobre, nem sábio nem simples;Nem novo nem velho, nem forte nem fraco;Nem apóstolo nem discípulo;0;;;;;;rascunho (IA)
