id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
97000;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 1:1;Quem escreveu a carta aos Efésios?;Paulo;Pedro;João;Tiago;0;;;;;;rascunho (IA)
97001;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 2:8;Pela graça somos salvos, por meio de quê?;Do batismo;Da fé;Das obras;Da lei;1;;;;;;rascunho (IA)
97002;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 2:8;O que a salvação é, não vindo de nós mesmos?;Herança dos pais;Recompensa das obras;Dom de Deus;Fruto do esforço;2;;;;;;rascunho (IA)
97003;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 6:11;O que Paulo manda vestir para resistir às ciladas do diabo?;A veste de linho fino;O manto da humildade;A coroa da justiça;Toda a armadura de Deus;3;;;;;;rascunho (IA)
97004;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 6:17;O que é a espada do Espírito, segundo Paulo?;A palavra de Deus;A oração constante;A fé dos santos;O nome de Jesus;0;;;;;;rascunho (IA)
97005;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 6:1;O que os filhos devem fazer em relação aos pais, no Senhor?;Imitá-los apenas;Obedecer-lhes;Ensiná-los;Sustentá-los;1;;;;;;rascunho (IA)
97006;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 5:25;Como os maridos devem amar as suas esposas, segundo Paulo?;Como os pais amam os filhos;Como servos amam seus senhores;Como Cristo amou a igreja;Como amam a si mesmos apenas;2;;;;;;rascunho (IA)
97007;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 4:32;Como devemos perdoar uns aos outros, segundo Efésios 4:32?;Somente uma vez;Depois de sete advertências;Conforme o merecimento;Como Deus nos perdoou em Cristo;3;;;;;;rascunho (IA)
97008;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 1:22-23;O que a igreja é, em relação a Cristo?;O seu corpo;O seu trono;A sua herança;O seu templo de pedra;0;;;;;;rascunho (IA)
97009;EFESIOS_COMPLETO;2026-08-22;IA (Claude);1;Efésios;NT;;;Ef 4:26;O que Paulo manda que não aconteça enquanto estivermos irados?;Que oremos naquele dia;Que o sol se ponha sobre a nossa ira;Que falemos com alguém;Que saiamos de casa;1;;;;;;rascunho (IA)
97010;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 2:9;Por que a salvação não vem das obras, segundo Paulo?;Porque a lei foi abolida;Para que todos sejam iguais;Para que ninguém se glorie;Porque as obras são inúteis;2;;;;;;rascunho (IA)
97011;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 2:10;O que somos, criados em Cristo Jesus para boas obras?;Servos da lei;Herdeiros de Abraão;Colunas da igreja;Feitura sua;3;;;;;;rascunho (IA)
97012;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 2:20;Quem é a principal pedra de esquina do edifício da igreja?;Jesus Cristo;Pedro;Os apóstolos;Os profetas;0;;;;;;rascunho (IA)
97013;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 4:4-6;Quantos corpos, quantos Espíritos e quantos Senhores Paulo afirma haver?;Sete de cada;Um só de cada;Dois de cada;Três de cada;1;;;;;;rascunho (IA)
97014;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 4:11;Qual dom Paulo lista entre os profetas e os pastores?;Diáconos;Presbíteros;Evangelistas;Anciãos;2;;;;;;rascunho (IA)
97015;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 5:18;Com que Paulo manda que nos enchamos, em vez de vinho?;De sabedoria;De alegria;De temor;Do Espírito;3;;;;;;rascunho (IA)
97016;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 6:12;Contra quem Paulo diz que a nossa luta não é?;Contra a carne e o sangue;Contra os falsos mestres;Contra as autoridades romanas;Contra os que nos perseguem;0;;;;;;rascunho (IA)
97017;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 6:14;Com que devemos cingir os nossos lombos, na armadura de Deus?;Com a paz;Com a verdade;Com a fé;Com a justiça;1;;;;;;rascunho (IA)
97018;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 6:16;O que é o escudo, na armadura de Deus?;A palavra;A salvação;A fé;A esperança;2;;;;;;rascunho (IA)
97019;EFESIOS_COMPLETO;2026-08-22;IA (Claude);2;Efésios;NT;;;Ef 6:17;O que é o capacete, na armadura de Deus?;A justiça;A verdade;O evangelho;A salvação;3;;;;;;rascunho (IA)
97020;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 1:3;Com que Deus nos abençoou nos lugares celestiais em Cristo?;Com toda sorte de bênção espiritual;Com riquezas e honra;Com poder sobre as nações;Com longos dias de vida;0;;;;;;rascunho (IA)
97021;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 1:7;Por meio de que temos a redenção e a remissão das ofensas?;Dos sacrifícios do templo;Do sangue de Cristo;Da guarda da lei;Do arrependimento contínuo;1;;;;;;rascunho (IA)
97022;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 1:13;Com que os crentes foram selados, depois de crerem?;Com o nome dos apóstolos;Com a lei escrita no coração;Com o Espírito Santo da promessa;Com o sinal da circuncisão;2;;;;;;rascunho (IA)
97023;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 2:1;Em que estávamos mortos, segundo Efésios 2:1?;Na ignorância da lei;No temor da morte;Na tradição dos pais;Em ofensas e pecados;3;;;;;;rascunho (IA)
97024;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 2:14;O que Cristo derrubou, sendo ele a nossa paz?;A parede de separação que estava no meio;As portas do templo;O altar dos sacrifícios;Os muros de Jerusalém;0;;;;;;rascunho (IA)
97025;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 2:19;O que os gentios passaram a ser, não mais estrangeiros nem forasteiros?;Discípulos dos apóstolos;Concidadãos dos santos e da família de Deus;Servos aprovados da lei;Hóspedes tolerados em Israel;1;;;;;;rascunho (IA)
97026;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 3:20;O que Deus é poderoso para fazer, segundo Efésios 3:20?;Apenas o que merecemos;O que os anjos intercederem;Muito mais abundantemente além do que pedimos ou pensamos;Somente o que está escrito;2;;;;;;rascunho (IA)
97027;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 4:15;Como devemos seguir a verdade, segundo Efésios 4:15?;Com firmeza;Em silêncio;Com temor;Em amor;3;;;;;;rascunho (IA)
97028;EFESIOS_COMPLETO;2026-08-22;IA (Claude);3;Efésios;NT;;;Ef 5:16;O que Paulo manda fazer com o tempo, porque os dias são maus?;Remi-lo;Contá-lo;Dividi-lo;Esquecê-lo;0;;;;;;rascunho (IA)
