id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
99000;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 1:1;Quem escreveu a carta aos Filipenses?;Paulo;Pedro;Tiago;Lucas;0;;;;;;rascunho (IA)
99001;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 4:13;O que Paulo declara poder fazer naquele que o fortalece?;Nada por si mesmo;Todas as coisas;Somente o necessário;Apenas orar;1;;;;;;rascunho (IA)
99002;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 4:4;O que Paulo manda fazer sempre no Senhor?;Silenciar;Trabalhar;Alegrar-se;Jejuar;2;;;;;;rascunho (IA)
99003;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 1:21;Para Paulo, o viver é quem, e o morrer é ganho?;A igreja;O evangelho;A esperança;Cristo;3;;;;;;rascunho (IA)
99004;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 4:19;O que o Deus de Paulo suprirá, segundo suas riquezas em glória?;Todas as nossas necessidades;Somente o alimento;Apenas o que pedirmos;A honra entre os homens;0;;;;;;rascunho (IA)
99005;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 2:10;Diante do nome de Jesus, o que se dobrará?;Toda a terra;Todo joelho;Toda a lei;Todo o templo;1;;;;;;rascunho (IA)
99006;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);1;Filipenses;NT;;;Fp 4:6;O que Paulo manda fazer, em vez de andar ansioso por coisa alguma?;Esperar em silêncio;Trabalhar com mais afinco;Apresentar as petições a Deus pela oração;Consultar os anciãos;2;;;;;;rascunho (IA)
99007;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 1:1;Quem é citado junto com Paulo na saudação de Filipenses?;Silas;Tito;Epafrodito;Timóteo;3;;;;;;rascunho (IA)
99008;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 1:6;Quem completará a boa obra começada, segundo Filipenses 1:6?;Aquele mesmo que a começou;Os apóstolos de Jerusalém;A própria igreja;O esforço de cada crente;0;;;;;;rascunho (IA)
99009;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 2:5;Que sentimento Paulo manda que haja em nós?;O mesmo que há nos anjos;O mesmo que houve também em Cristo Jesus;O mesmo que houve nos profetas;O mesmo que houve em Abraão;1;;;;;;rascunho (IA)
99010;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 2:8;Até onde Cristo se humilhou, sendo obediente?;Até o exílio no Egito;Até a prisão em Jerusalém;Até à morte de cruz;Até deixar o templo;2;;;;;;rascunho (IA)
99011;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 2:11;O que toda língua confessará, segundo Filipenses 2:11?;Que a lei é santa;Que Deus é justo;Que o reino chegou;Que Jesus Cristo é o Senhor;3;;;;;;rascunho (IA)
99012;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 4:7;O que a paz de Deus excede, segundo Paulo?;Todo o entendimento;Toda a riqueza;Todo o sofrimento;Toda a promessa;0;;;;;;rascunho (IA)
99013;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);2;Filipenses;NT;;;Fp 3:14;Para o que Paulo declara prosseguir, esquecendo o que fica para trás?;Para o reconhecimento dos irmãos;Para o alvo, pelo prêmio da soberana vocação;Para o descanso prometido;Para a herança dos pais;1;;;;;;rascunho (IA)
99014;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);3;Filipenses;NT;;;Fp 1:13;Onde as prisões de Paulo se tornaram conhecidas em Cristo?;Em todas as sinagogas;Em toda a Macedônia;Em toda a guarda pretoriana;Em todo o Sinédrio;2;;;;;;rascunho (IA)
99015;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);3;Filipenses;NT;;;Fp 1:23;O que Paulo desejava, tendo por muito melhor?;Voltar a Jerusalém;Visitar a Espanha;Ser solto da prisão;Partir e estar com Cristo;3;;;;;;rascunho (IA)
99016;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);3;Filipenses;NT;;;Fp 2:9;Que nome Deus deu a Cristo, ao exaltá-lo soberanamente?;Um nome que está acima de todo nome;O nome de Filho do Homem;O nome de Rei dos judeus;O nome de Cordeiro de Deus;0;;;;;;rascunho (IA)
99017;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);3;Filipenses;NT;;;Fp 2:14;Como Paulo manda que façamos todas as coisas?;Depois de consultar os anciãos;Sem murmurações nem contendas;Com pressa e diligência;Somente em público;1;;;;;;rascunho (IA)
99018;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);3;Filipenses;NT;;;Fp 3:13;O que Paulo declara fazer com as coisas que ficam para trás?;Registra-as em cartas;Ensina-as aos novos;Esquece-as;Guarda-as no coração;2;;;;;;rascunho (IA)
99019;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);3;Filipenses;NT;;;Fp 4:11;O que Paulo aprendeu, em qualquer situação em que se encontrasse?;A calar-se;A pedir socorro;A mudar de cidade;A contentar-se;3;;;;;;rascunho (IA)
99020;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);4;Filipenses;NT;;;Fp 1:15;Por que alguns pregavam a Cristo, segundo Filipenses 1:15?;Por inveja e porfia;Por medo dos judeus;Por interesse financeiro;Por ordem dos apóstolos;0;;;;;;rascunho (IA)
99021;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);4;Filipenses;NT;;;Fp 2:3;O que não deve motivar as nossas ações, segundo Filipenses 2:3?;Tradição ou costume;Contenda ou vanglória;Temor ou dúvida;Pressa ou descuido;1;;;;;;rascunho (IA)
99022;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);4;Filipenses;NT;;;Fp 2:7;Que forma Cristo tomou, ao assumir a semelhança dos homens?;A de rei;A de profeta;A de servo;A de sacerdote;2;;;;;;rascunho (IA)
99023;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);4;Filipenses;NT;;;Fp 2:12;Como Paulo manda que operemos a nossa própria salvação?;Com alegria e cânticos;Com jejum e vigília;Com pressa e ousadia;Com temor e tremor;3;;;;;;rascunho (IA)
99024;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);4;Filipenses;NT;;;Fp 2:25-27;Quem esteve doente e quase à morte, mencionado por Paulo em Filipenses 2?;Epafrodito;Timóteo;Tíquico;Onésimo;0;;;;;;rascunho (IA)
99025;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);4;Filipenses;NT;;;Fp 3:20;De onde Paulo diz que aguardamos o Salvador, o Senhor Jesus Cristo?;Do monte santo;Dos céus;Do templo;Do oriente;1;;;;;;rascunho (IA)
99026;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);5;Filipenses;NT;;;Fp 1:1;A que dois grupos, além dos santos, Paulo dirige a carta aos Filipenses?;Aos profetas e evangelistas;Aos apóstolos e presbíteros;Aos bispos e diáconos;Aos anciãos e mestres;2;;;;;;rascunho (IA)
99027;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);5;Filipenses;NT;;;Fp 3:5;De que tribo de Israel Paulo declara ser descendente?;De Judá;De Levi;De Efraim;De Benjamim;3;;;;;;rascunho (IA)
99028;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);5;Filipenses;NT;;;Fp 3:5;A que seita Paulo declara ter pertencido, quanto à lei?;Fariseu;Saduceu;Essênio;Zelote;0;;;;;;rascunho (IA)
99029;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);5;Filipenses;NT;;;Fp 3:8;Como Paulo passou a considerar todas as coisas, por amor do conhecimento de Cristo?;Como recompensa;Como perda;Como herança;Como preparação;1;;;;;;rascunho (IA)
99030;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);5;Filipenses;NT;;;Fp 4:2;Que duas mulheres Paulo exorta a sentirem o mesmo no Senhor?;Lídia e Dorcas;Maria e Júlia;Evódia e Síntique;Priscila e Febe;2;;;;;;rascunho (IA)
99031;FILIPENSES_COMPLETO;2026-08-22;IA (Claude);5;Filipenses;NT;;;Fp 4:22;De que casa eram alguns dos santos que enviaram saudações aos filipenses?;Da casa de Herodes;Da casa de Cornélio;Da casa de Lídia;Da casa de César;3;;;;;;rascunho (IA)
