id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
101000;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 1:1;Quem escreveu a carta aos Colossenses?;Paulo;Pedro;Tiago;Epafras;0;;;;;;rascunho (IA)
101001;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 1:15;De quem Cristo é a imagem, segundo Colossenses 1:15?;Dos anjos do céu;Do Deus invisível;Dos profetas antigos;Do primeiro homem;1;;;;;;rascunho (IA)
101002;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 3:1;Onde Cristo está assentado, segundo Colossenses 3:1?;Entre os querubins;No monte santo;À direita de Deus;No templo de Jerusalém;2;;;;;;rascunho (IA)
101003;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 3:23;Como devemos fazer tudo aquilo que fizermos?;Somente por obrigação;Diante dos homens;Conforme o costume;De coração, como ao Senhor;3;;;;;;rascunho (IA)
101004;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 1:18;De que corpo Cristo é a cabeça, segundo Colossenses?;Da igreja;Do templo;Do povo de Israel;Do conselho dos apóstolos;0;;;;;;rascunho (IA)
101005;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 4:14;Como Lucas é chamado na carta aos Colossenses?;O irmão de Marcos;O médico amado;O escriba fiel;O companheiro de prisão;1;;;;;;rascunho (IA)
101006;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);1;Colossenses;NT;;;Cl 3:20;O que os filhos devem fazer em tudo, segundo Colossenses 3:20?;Servir na igreja;Guardar silêncio;Obedecer aos pais;Ensinar os irmãos;2;;;;;;rascunho (IA)
101007;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 1:1;Quem é citado junto com Paulo na saudação de Colossenses?;Silas;Tito;Tíquico;Timóteo;3;;;;;;rascunho (IA)
101008;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 1:16;Por meio de quem todas as coisas foram criadas, segundo Colossenses 1?;Por Cristo;Pelos anjos;Pela palavra dos profetas;Pela lei;0;;;;;;rascunho (IA)
101009;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 2:9;O que habita corporalmente em Cristo, segundo Colossenses 2:9?;A glória do templo;Toda a plenitude da divindade;A sabedoria dos séculos;O poder dos anjos;1;;;;;;rascunho (IA)
101010;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 3:15;O que deve dominar nos nossos corações, segundo Paulo?;A esperança da glória;A lei escrita;A paz de Deus;O temor do juízo;2;;;;;;rascunho (IA)
101011;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 3:16;O que deve habitar em nós abundantemente, segundo Colossenses 3:16?;A tradição dos pais;A memória da lei;O zelo pela justiça;A palavra de Cristo;3;;;;;;rascunho (IA)
101012;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 4:2;Em que Paulo manda perseverar, vigiando com ação de graças?;Na oração;No jejum;No trabalho;No silêncio;0;;;;;;rascunho (IA)
101013;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);2;Colossenses;NT;;;Cl 4:6;Como deve ser a nossa palavra, temperada com sal?;Com silêncio;Com graça;Com dureza;Com pressa;1;;;;;;rascunho (IA)
101014;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);3;Colossenses;NT;;;Cl 1:7;Quem anunciou o evangelho aos colossenses, segundo Paulo?;Onésimo;Arquipo;Epafras;Tíquico;2;;;;;;rascunho (IA)
101015;COLOSSENSES_COMPLETO;2026-08-22;IA (Claude);3;Colossenses;NT;;;Cl 1:17;O que Paulo afirma sobre Cristo em relação a todas as coisas?;Ele foi criado antes de todas;Ele governa apenas a igreja;Ele veio depois dos profetas;Ele é antes de todas e nele todas subsistem;3;;;;;;rascunho (IA)
