id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
103000;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 1:1;Quem escreveu a primeira carta aos Tessalonicenses?;Paulo;Pedro;Tiago;Silvano;0;;;;;;rascunho (IA)
103001;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 5:16;O que Paulo manda fazer sempre, em 1 Tessalonicenses 5:16?;Calar-se;Regozijar-se;Jejuar;Vigiar;1;;;;;;rascunho (IA)
103002;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 5:17;Como Paulo manda que oremos?;Apenas em conjunto;Três vezes ao dia;Sem cessar;Somente ao amanhecer;2;;;;;;rascunho (IA)
103003;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 5:18;Em que devemos dar graças, segundo Paulo?;Somente nas vitórias;Apenas nas festas;Quando houver motivo;Em tudo;3;;;;;;rascunho (IA)
103004;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 4:16;O que soará quando o Senhor descer do céu, segundo Paulo?;A trombeta de Deus;O cântico dos anjos;O trovão do juízo;O clamor do povo;0;;;;;;rascunho (IA)
103005;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 4:17;Onde os crentes encontrarão o Senhor, segundo 1 Tessalonicenses 4:17?;Em Jerusalém;Nos ares;No templo;No monte das Oliveiras;1;;;;;;rascunho (IA)
103006;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 5:2;Como o dia do Senhor virá, segundo Paulo?;Depois de mil anos;Ao amanhecer de um sábado;Como ladrão de noite;Com grande aviso;2;;;;;;rascunho (IA)
103007;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);1;1 Tessalonicenses;NT;;;1Ts 5:19;O que Paulo manda que não se faça ao Espírito?;Não o esconder;Não o provar;Não o esquecer;Não o apagar;3;;;;;;rascunho (IA)
103008;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 1:1;Quais dois companheiros estão com Paulo na saudação de 1 Tessalonicenses?;Silvano e Timóteo;Barnabé e Marcos;Tito e Lucas;Áquila e Apolo;0;;;;;;rascunho (IA)
103009;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 1:3;Que três coisas Paulo recorda dos tessalonicenses?;Palavra, sinal e prodígio;Obra da fé, trabalho do amor e paciência da esperança;Jejum, oração e esmola;Zelo, ciência e prudência;1;;;;;;rascunho (IA)
103010;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 1:9;De que os tessalonicenses se converteram, para servir o Deus vivo?;Da filosofia grega;Das tradições dos pais;Dos ídolos;Da lei de Moisés;2;;;;;;rascunho (IA)
103011;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 4:13;Como Paulo diz que não devemos entristecer pelos que dormem?;Como fazem os gentios;Como faziam os profetas;Como se fossem estranhos;Como os que não têm esperança;3;;;;;;rascunho (IA)
103012;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 4:16;Quem ressuscitará primeiro, segundo 1 Tessalonicenses 4:16?;Os mortos em Cristo;Os que estiverem vivos;Os patriarcas de Israel;Os apóstolos;0;;;;;;rascunho (IA)
103013;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 5:5;De que Paulo diz que somos filhos, em 1 Tessalonicenses 5:5?;Da paz e da esperança;Da luz e do dia;Da promessa e da lei;Da graça e do temor;1;;;;;;rascunho (IA)
103014;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 5:21;O que Paulo manda fazer com todas as coisas?;Rejeitar o que for novo;Consultar sempre os anciãos;Examinar tudo e reter o bem;Aceitar tudo sem questionar;2;;;;;;rascunho (IA)
103015;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);2;1 Tessalonicenses;NT;;;1Ts 5:23;Que três partes do ser humano Paulo menciona em 1 Tessalonicenses 5:23?;Coração, mente e força;Carne, sangue e osso;Razão, vontade e emoção;Espírito, alma e corpo;3;;;;;;rascunho (IA)
103016;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 1:7;Para quem os tessalonicenses se tornaram exemplo?;Para todos os crentes da Macedônia e da Acaia;Para as igrejas da Ásia;Para os irmãos da Judeia;Para os santos de Roma;0;;;;;;rascunho (IA)
103017;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 1:10;A quem os tessalonicenses esperavam dos céus, segundo Paulo?;Ao próprio Paulo;Ao seu Filho, Jesus;A Elias, o profeta;Aos anjos do juízo;1;;;;;;rascunho (IA)
103018;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 2:7;A que Paulo se compara no trato com os tessalonicenses?;A um juiz entre irmãos;A um mestre severo;A uma ama que cria os seus filhos;A um soldado em batalha;2;;;;;;rascunho (IA)
103019;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 2:9;Como Paulo trabalhava, para não ser pesado a nenhum deles?;Somente aos sábados;Apenas quando faltava alimento;Com ajuda dos anciãos;Noite e dia;3;;;;;;rascunho (IA)
103020;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 2:18;Quem Paulo diz que o impediu de ir vê-los?;Satanás;Os judeus da cidade;As autoridades romanas;A doença de Timóteo;0;;;;;;rascunho (IA)
103021;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 2:20;O que os tessalonicenses são para Paulo, segundo 1 Tessalonicenses 2:20?;O seu consolo na prisão;A sua glória e alegria;O seu maior encargo;A sua defesa diante de Deus;1;;;;;;rascunho (IA)
103022;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 3:2;Quem Paulo enviou para confirmá-los e exortá-los na fé?;Tito;Epafrodito;Timóteo;Silvano;2;;;;;;rascunho (IA)
103023;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);3;1 Tessalonicenses;NT;;;1Ts 4:11;O que Paulo manda que façam com as próprias mãos?;Escrever cartas;Repartir os bens;Construir o templo;Trabalhar;3;;;;;;rascunho (IA)
103024;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 4:16;Com que voz o Senhor mesmo descerá do céu, segundo Paulo?;Com voz de arcanjo;Com voz de trovão;Com voz de multidão;Com voz de profeta;0;;;;;;rascunho (IA)
103025;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 4:18;Com que Paulo manda que nos consolemos uns aos outros?;Com a leitura da lei;Com essas mesmas palavras;Com jejuns e orações;Com cânticos de esperança;1;;;;;;rascunho (IA)
103026;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 5:8;Que peças de armadura Paulo menciona em 1 Tessalonicenses 5:8?;O cinto da verdade e as sandálias da paz;A coroa da justiça e o manto da glória;A couraça da fé e do amor e o capacete da esperança;O escudo da fé e a espada do Espírito;2;;;;;;rascunho (IA)
103027;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 5:12;A quem Paulo manda que os tessalonicenses reconheçam?;Aos que vêm de Jerusalém;Aos que sustentam os pobres;Aos mais antigos na fé;Aos que trabalham entre eles e os presidem no Senhor;3;;;;;;rascunho (IA)
103028;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 5:20;O que Paulo manda que não seja desprezado?;As profecias;As tradições;Os mais fracos;Os que servem às mesas;0;;;;;;rascunho (IA)
103029;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 2:4;A quem Paulo procura agradar, e não aos homens?;Aos que o sustentam;A Deus, que prova os corações;Aos apóstolos de Jerusalém;Aos anciãos da igreja;1;;;;;;rascunho (IA)
103030;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 3:13;Como Paulo deseja que os corações deles sejam confirmados?;Prontos para a viagem;Cheios de conhecimento;Irrepreensíveis em santidade;Fortes contra os inimigos;2;;;;;;rascunho (IA)
103031;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);4;1 Tessalonicenses;NT;;;1Ts 5:27;O que Paulo pede encarecidamente a respeito da carta?;Que seja guardada em segredo;Que seja copiada e enviada a Roma;Que seja destruída após a leitura;Que seja lida a todos os santos irmãos;3;;;;;;rascunho (IA)
103032;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);5;1 Tessalonicenses;NT;;;1Ts 1:5;Em que o evangelho chegou a eles, além de somente em palavras?;Em poder, no Espírito Santo e em muita certeza;Em sinais e prodígios visíveis;Em cartas e recomendações;Em visitas repetidas dos apóstolos;0;;;;;;rascunho (IA)
103033;1TESSALONICENSES_COMPLETO;2026-08-22;IA (Claude);5;1 Tessalonicenses;NT;;;1Ts 2:2;Em que cidade Paulo foi ultrajado antes de chegar a Tessalônica?;Em Corinto;Em Filipos;Em Bereia;Em Atenas;1;;;;;;rascunho (IA)
