id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
107000;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 1:1;Quem escreveu a primeira carta a Timóteo?;Paulo;Pedro;Tiago;Lucas;0;;;;;;rascunho (IA)
107001;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 1:2;A quem a primeira carta é endereçada?;A Onésimo;A Timóteo;A Tito;A Filemom;1;;;;;;rascunho (IA)
107002;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 2:5;Quantos mediadores há entre Deus e os homens, segundo Paulo?;Sete;Muitos;Um só;Dois;2;;;;;;rascunho (IA)
107003;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 1:15;Para que Cristo Jesus veio ao mundo, segundo 1 Timóteo 1:15?;Para julgar as nações;Para restaurar o templo;Para ensinar a lei;Para salvar os pecadores;3;;;;;;rascunho (IA)
107004;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 6:10;O que Paulo declara ser raiz de todos os males?;O amor ao dinheiro;O orgulho do coração;A ignorância da lei;A companhia dos ímpios;0;;;;;;rascunho (IA)
107005;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 4:12;O que Paulo diz que ninguém deve desprezar em Timóteo?;A sua pobreza;A sua mocidade;A sua origem;A sua fraqueza;1;;;;;;rascunho (IA)
107006;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 6:7;O que trouxemos a este mundo, segundo 1 Timóteo 6:7?;A imagem de Deus;A promessa dos pais;Nada;Somente a alma;2;;;;;;rascunho (IA)
107007;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 2:2;Por quem Paulo manda orar, além de por todos os homens?;Somente pelos irmãos da fé;Pelos que já morreram;Pelos anjos ministradores;Pelos reis e por todos os que estão em eminência;3;;;;;;rascunho (IA)
107008;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 6:12;Que boa luta Paulo manda que Timóteo combata?;A da fé;A da lei;A da paciência;A da esperança;0;;;;;;rascunho (IA)
107009;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);1;1 Timóteo;NT;;;1Tm 5:8;O que faz aquele que não cuida dos seus, segundo Paulo?;Deve ser advertido três vezes;Nega a fé e é pior do que o infiel;Perde a recompensa futura;Envergonha os anciãos;1;;;;;;rascunho (IA)
107010;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 1:2;Como Paulo chama Timóteo na saudação da carta?;Meu irmão segundo a carne;Meu servo fiel;Meu verdadeiro filho na fé;Meu companheiro de prisão;2;;;;;;rascunho (IA)
107011;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 1:13;Como Paulo descreve o que ele mesmo era antes?;Ignorante da lei;Servo dos ídolos;Fugitivo de Jerusalém;Blasfemo, perseguidor e opressor;3;;;;;;rascunho (IA)
107012;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 1:15;Como Paulo se descreve entre os pecadores?;O principal deles;O menor deles;Um entre muitos;Já perdoado desde o início;0;;;;;;rascunho (IA)
107013;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 3:2;Como o bispo deve ser, quanto ao casamento?;Sem exigência alguma;Marido de uma só mulher;Necessariamente solteiro;Casado com viúva;1;;;;;;rascunho (IA)
107014;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 3:15;O que a igreja do Deus vivo é, segundo 1 Timóteo 3:15?;Templo feito de pedras vivas;Corpo de muitos membros;Coluna e firmeza da verdade;Rebanho disperso entre as nações;2;;;;;;rascunho (IA)
107015;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 4:1;O que acontecerá nos últimos tempos, segundo 1 Timóteo 4:1?;Cessarão as profecias;Os gentios se converterão;O templo será reconstruído;Alguns apostatarão da fé;3;;;;;;rascunho (IA)
107016;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 5:17;Que honra merecem os presbíteros que governam bem?;Dobrada;Igual à dos apóstolos;Somente a do respeito;A de servir às mesas;0;;;;;;rascunho (IA)
107017;1TIMOTEO_COMPLETO;2026-08-22;IA (Claude);2;1 Timóteo;NT;;;1Tm 6:6;O que Paulo declara ser grande ganho?;A fé com sinais;A piedade com contentamento;O trabalho com diligência;O saber com prudência;1;;;;;;rascunho (IA)
