id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
111000;TITO_COMPLETO;2026-08-22;IA (Claude);1;Tito;NT;;;Tt 1:1;Quem escreveu a carta a Tito?;Paulo;Pedro;Tiago;Lucas;0;;;;;;rascunho (IA)
111001;TITO_COMPLETO;2026-08-22;IA (Claude);1;Tito;NT;;;Tt 1:5;Em que ilha Paulo deixou Tito para pôr em ordem as igrejas?;Rodes;Creta;Chipre;Malta;1;;;;;;rascunho (IA)
111002;TITO_COMPLETO;2026-08-22;IA (Claude);1;Tito;NT;;;Tt 2:11;O que a graça de Deus, que traz salvação, fez, segundo Tito 2:11?;Foi anunciada pelos anjos;Será revelada no fim;Manifestou-se a todos os homens;Ficou reservada a Israel;2;;;;;;rascunho (IA)
111003;TITO_COMPLETO;2026-08-22;IA (Claude);1;Tito;NT;;;Tt 3:5;Por que Deus nos salvou, e não por obras de justiça?;Segundo a nossa fé;Segundo a lei de Moisés;Segundo a promessa dos pais;Segundo a sua misericórdia;3;;;;;;rascunho (IA)
111004;TITO_COMPLETO;2026-08-22;IA (Claude);1;Tito;NT;;;Tt 1:4;Como Paulo chama Tito na saudação da carta?;Meu verdadeiro filho, segundo a fé comum;Meu companheiro de prisão;Meu irmão segundo a carne;Meu servo na obra;0;;;;;;rascunho (IA)
111005;TITO_COMPLETO;2026-08-22;IA (Claude);2;Tito;NT;;;Tt 1:5;Para que Paulo deixou Tito em Creta, além de pôr em ordem o que restava?;Para julgar as contendas;Para estabelecer presbíteros em cada cidade;Para recolher as ofertas;Para construir um templo;1;;;;;;rascunho (IA)
111006;TITO_COMPLETO;2026-08-22;IA (Claude);2;Tito;NT;;;Tt 1:7;Como o bispo é descrito em Tito 1:7?;Como mestre da lei;Como servo dos apóstolos;Como despenseiro da casa de Deus;Como juiz entre os irmãos;2;;;;;;rascunho (IA)
111007;TITO_COMPLETO;2026-08-22;IA (Claude);2;Tito;NT;;;Tt 2:13;O que Paulo diz que aguardamos, em Tito 2:13?;O fim das perseguições;A restauração de Israel;A vinda dos profetas;A bem-aventurada esperança e o aparecimento da glória;3;;;;;;rascunho (IA)
111008;TITO_COMPLETO;2026-08-22;IA (Claude);2;Tito;NT;;;Tt 3:1;A quem Paulo manda que os crentes se sujeitem, em Tito 3:1?;Aos principados e potestades;Somente aos anciãos;Aos mestres da lei;Aos que vêm de Jerusalém;0;;;;;;rascunho (IA)
111009;TITO_COMPLETO;2026-08-22;IA (Claude);2;Tito;NT;;;Tt 3:10;Como deve ser tratado o homem herege, segundo Paulo?;Recebido com paciência;Rejeitado após a primeira e a segunda admoestação;Entregue às autoridades;Advertido sete vezes;1;;;;;;rascunho (IA)
111010;TITO_COMPLETO;2026-08-22;IA (Claude);3;Tito;NT;;;Tt 1:12;Como um profeta dos próprios cretenses os descreveu, segundo Paulo?;Adoradores de ídolos;Amantes do saber;Sempre mentirosos;Homens de guerra;2;;;;;;rascunho (IA)
111011;TITO_COMPLETO;2026-08-22;IA (Claude);3;Tito;NT;;;Tt 1:15;O que Paulo declara a respeito dos puros, em Tito 1:15?;Os puros nada devem tocar;Os puros julgarão os impuros;Os puros vivem separados;Para os puros todas as coisas são puras;3;;;;;;rascunho (IA)
111012;TITO_COMPLETO;2026-08-22;IA (Claude);3;Tito;NT;;;Tt 2:14;Que povo Cristo purificou para si, tendo se dado por nós?;Um povo seu especial, zeloso de boas obras;Um povo escolhido entre as nações;Um povo separado no deserto;Um povo sacerdotal de Israel;0;;;;;;rascunho (IA)
111013;TITO_COMPLETO;2026-08-22;IA (Claude);3;Tito;NT;;;Tt 3:5;Por meio de que Deus nos salvou, segundo Tito 3:5?;Pela intercessão dos anjos;Pela lavagem da regeneração e renovação do Espírito Santo;Pelo cumprimento dos mandamentos;Pelos sacrifícios do templo;1;;;;;;rascunho (IA)
111014;TITO_COMPLETO;2026-08-22;IA (Claude);3;Tito;NT;;;Tt 3:9;Do que Paulo manda que Tito se afaste?;Das cidades pagãs;Das viagens longas;De questões loucas, genealogias e contendas;Dos irmãos mais fracos;2;;;;;;rascunho (IA)
111015;TITO_COMPLETO;2026-08-22;IA (Claude);4;Tito;NT;;;Tt 1:6;Como devem ser os filhos daquele que é escolhido presbítero?;Todos casados na fé;Instruídos na lei;Servos da igreja;Fiéis, sem acusação de dissolução;3;;;;;;rascunho (IA)
111016;TITO_COMPLETO;2026-08-22;IA (Claude);4;Tito;NT;;;Tt 2:2;Como Paulo orienta que sejam os homens idosos?;Sóbrios, graves, prudentes e sãos na fé;Silenciosos nas reuniões;Isentos de responsabilidades;Encarregados das ofertas;0;;;;;;rascunho (IA)
111017;TITO_COMPLETO;2026-08-22;IA (Claude);4;Tito;NT;;;Tt 3:12;Em que cidade Paulo decidiu passar o inverno, chamando Tito?;Em Mileto;Em Nicópolis;Em Corinto;Em Trôade;1;;;;;;rascunho (IA)
111018;TITO_COMPLETO;2026-08-22;IA (Claude);4;Tito;NT;;;Tt 3:13;Como Zenas é descrito na carta a Tito?;Como companheiro de prisão;Como irmão de Apolo;Como doutor da lei;Como médico amado;2;;;;;;rascunho (IA)
111019;TITO_COMPLETO;2026-08-22;IA (Claude);5;Tito;NT;;;Tt 1:2;Em que Deus, que não pode mentir, fez a promessa da vida eterna?;No monte Sinai;Nos dias dos profetas;Na vinda de Cristo;Antes dos tempos dos séculos;3;;;;;;rascunho (IA)
111020;TITO_COMPLETO;2026-08-22;IA (Claude);5;Tito;NT;;;Tt 2:4;O que as mulheres idosas devem ensinar às mais jovens?;A serem prudentes e a amarem seus maridos e filhos;A guardarem silêncio nas reuniões;A servirem às viúvas;A jejuarem duas vezes por semana;0;;;;;;rascunho (IA)
111021;TITO_COMPLETO;2026-08-22;IA (Claude);5;Tito;NT;;;Tt 2:12;O que a graça de Deus nos ensina a renunciar?;As disputas com os irmãos;A impiedade e as concupiscências mundanas;As tradições dos pais;As riquezas deste mundo;1;;;;;;rascunho (IA)
111022;TITO_COMPLETO;2026-08-22;IA (Claude);5;Tito;NT;;;Tt 3:12;Quem Paulo pretendia enviar a Tito, antes de chamá-lo a Nicópolis?;Marcos ou Demas;Silas ou Epafras;Ártemas ou Tíquico;Timóteo ou Lucas;2;;;;;;rascunho (IA)
111023;TITO_COMPLETO;2026-08-22;IA (Claude);6;Tito;NT;;;Tt 1:1;Tito integra qual grupo de cartas, junto com 1 e 2 Timóteo?;As cartas da prisão;As cartas gerais;As cartas de viagem;As cartas pastorais;3;;;;;;rascunho (IA)
111024;TITO_COMPLETO;2026-08-22;IA (Claude);6;Tito;NT;;;Tt 1:12;Que recurso incomum Paulo utiliza em Tito 1:12, ao descrever os cretenses?;Cita um poeta da própria terra deles;Cita uma profecia de Isaías;Cita um provérbio de Salomão;Cita uma palavra de Jesus;0;;;;;;rascunho (IA)
