id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
115000;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 13:8;Como Jesus Cristo é descrito quanto ao tempo, em Hebreus 13:8?;O mesmo ontem, hoje e eternamente;O que estava e já passou;O que virá em breve;O primeiro e o último dia;0;;;;;;rascunho (IA)
115001;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 11:6;O que é impossível fazer sem fé, segundo Hebreus 11:6?;Suportar as provações;Agradar a Deus;Compreender a lei;Servir na igreja;1;;;;;;rascunho (IA)
115002;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 4:12;A que a palavra de Deus é comparada em Hebreus 4:12?;A uma lâmpada acesa;A um fogo consumidor;A uma espada de dois gumes;A um martelo que quebra rochas;2;;;;;;rascunho (IA)
115003;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 9:27;O que está ordenado aos homens, segundo Hebreus 9:27?;Nascer de novo;Passar por sete provas;Servir a Deus por toda a vida;Morrer uma vez e depois o juízo;3;;;;;;rascunho (IA)
115004;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 12:1;O que nos rodeia, segundo o início de Hebreus 12?;Uma grande nuvem de testemunhas;Um exército de anjos;Um muro de proteção;Uma multidão de inimigos;0;;;;;;rascunho (IA)
115005;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 12:2;Como Jesus é chamado em Hebreus 12:2?;Rei dos reis;Autor e consumador da fé;Príncipe da paz;Cordeiro de Deus;1;;;;;;rascunho (IA)
115006;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 1:1-2;Por meio de quem Deus falou nestes últimos dias, segundo Hebreus 1?;Pelos apóstolos;Pela lei escrita;Pelo Filho;Pelos anjos;2;;;;;;rascunho (IA)
115007;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 11:5;Quem foi trasladado pela fé, para não ver a morte?;Elias;Moisés;Noé;Enoque;3;;;;;;rascunho (IA)
115008;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 10:25;O que Hebreus 10:25 manda que não se deixe?;A reunião dos irmãos;A leitura das Escrituras;O jejum semanal;A oferta ao templo;0;;;;;;rascunho (IA)
115009;HEBREUS_COMPLETO;2026-08-22;IA (Claude);1;Hebreus;NT;;;Hb 9:22;Sem o que não há remissão, segundo Hebreus 9:22?;Sem confissão ao sacerdote;Sem derramamento de sangue;Sem arrependimento público;Sem oferta de incenso;1;;;;;;rascunho (IA)
