id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
117000;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 1:5;A quem devemos pedir, se nos falta sabedoria?;A Deus;Aos anciãos;Aos mestres da lei;Aos profetas;0;;;;;;rascunho (IA)
117001;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 2:17;Como é a fé que não tem obras, segundo Tiago?;Aprovada por Deus;Morta em si mesma;Fraca, mas viva;Suficiente para salvar;1;;;;;;rascunho (IA)
117002;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 1:19;Como devemos ser quanto ao ouvir, ao falar e ao irar-se?;Tardios para ouvir e prontos para agir;Silenciosos em todas as ocasiões;Prontos para ouvir, tardios para falar e para irar-se;Prontos para falar e ouvir com calma;2;;;;;;rascunho (IA)
117003;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 1:22;O que devemos ser, e não somente ouvintes da palavra?;Mestres da palavra;Guardiões da palavra;Pregadores da palavra;Cumpridores da palavra;3;;;;;;rascunho (IA)
117004;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 4:7;O que acontece ao diabo, quando resistimos a ele?;Fugirá de nós;Voltará mais forte;Permanecerá em silêncio;Enviará outros espíritos;0;;;;;;rascunho (IA)
117005;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 4:8;O que Deus fará se nos chegarmos a ele, segundo Tiago 4:8?;Ouvirá em silêncio;Chegar-se-á a nós;Provará a nossa fé;Enviará os seus anjos;1;;;;;;rascunho (IA)
117006;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 5:16;Que oração Tiago diz que pode muito em seus efeitos?;A feita no templo;A feita em jejum;A do justo;A do sacerdote;2;;;;;;rascunho (IA)
117007;TIAGO_COMPLETO;2026-08-22;IA (Claude);1;Tiago;NT;;;Tg 1:17;De onde vem toda boa dádiva e todo dom perfeito?;Do esforço de cada um;Da bênção dos anciãos;Da herança dos pais;Do alto, do Pai das luzes;3;;;;;;rascunho (IA)
117008;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 1:1;Como o autor da carta se apresenta na abertura?;Servo de Deus e do Senhor Jesus Cristo;Irmão do Senhor Jesus;Apóstolo dos gentios;Ancião entre os anciãos;0;;;;;;rascunho (IA)
117009;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 1:2;Como devemos considerar as várias provações que enfrentamos?;Como obra do inimigo;Como motivo de grande gozo;Como sinal de castigo;Como prova de fraqueza;1;;;;;;rascunho (IA)
117010;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 1:3;O que a prova da nossa fé produz, segundo Tiago 1:3?;Coragem;Humildade;Paciência;Sabedoria;2;;;;;;rascunho (IA)
117011;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 1:6;Como Tiago compara aquele que pede duvidando?;À palha levada pelo vento;Ao pó levantado pelos pés;À neblina que se desfaz;À onda do mar, levada pelo vento;3;;;;;;rascunho (IA)
117012;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 1:27;O que Tiago define como religião pura e imaculada?;Visitar os órfãos e as viúvas e guardar-se do mundo;Guardar as festas e os jejuns;Oferecer sacrifícios de louvor;Ensinar a lei com fidelidade;0;;;;;;rascunho (IA)
117013;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 2:10;O que acontece a quem guarda toda a lei mas tropeça em um ponto?;Deve recomeçar do início;Torna-se culpado de todos;É perdoado pelos demais;Perde apenas parte da recompensa;1;;;;;;rascunho (IA)
117014;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 2:19;O que os demônios fazem, mesmo crendo que há um só Deus?;Calam-se;Fogem;Estremecem;Obedecem;2;;;;;;rascunho (IA)
117015;TIAGO_COMPLETO;2026-08-22;IA (Claude);2;Tiago;NT;;;Tg 4:6;A quem Deus resiste e a quem dá graça, segundo Tiago?;Resiste aos ímpios e dá graça aos justos;Resiste aos ricos e dá graça aos pobres;Resiste aos ignorantes e dá graça aos sábios;Resiste aos soberbos e dá graça aos humildes;3;;;;;;rascunho (IA)
117016;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 1:8;Como Tiago descreve o homem de coração dividido?;Inconstante em todos os seus caminhos;Firme apenas nas provações;Sábio diante dos homens;Aprovado por Deus;0;;;;;;rascunho (IA)
117017;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 1:23;A que Tiago compara quem ouve a palavra e não a cumpre?;A um servo que dorme;A um homem que contempla o rosto num espelho;A uma casa construída na areia;A uma árvore sem fruto;1;;;;;;rascunho (IA)
117018;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 2:8;Como Tiago chama o mandamento de amar o próximo como a si mesmo?;Lei da liberdade;Lei dos profetas;Lei régia;Lei antiga;2;;;;;;rascunho (IA)
117019;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 2:21;Por qual ato Abraão é citado como justificado pelas obras?;Por ter deixado Ur;Por ter recebido os três visitantes;Por ter pago o dízimo a Melquisedeque;Por ter oferecido Isaque sobre o altar;3;;;;;;rascunho (IA)
117020;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 2:23;Que título Abraão recebeu, segundo a citação de Tiago 2:23?;Amigo de Deus;Pai da fé;Servo do Altíssimo;Príncipe entre os povos;0;;;;;;rascunho (IA)
117021;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 2:25;Que mulher Tiago cita como justificada pelas obras, ao receber os mensageiros?;Débora;Raabe;Sara;Rute;1;;;;;;rascunho (IA)
117022;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 3:1;O que Tiago adverte aos que querem ser mestres?;Que precisam de aprovação dos anciãos;Que devem ensinar em silêncio;Que receberão maior juízo;Que serão honrados na igreja;2;;;;;;rascunho (IA)
117023;TIAGO_COMPLETO;2026-08-22;IA (Claude);3;Tiago;NT;;;Tg 5:11;De quem Tiago cita a paciência como exemplo aos que sofrem?;De Moisés;De Davi;De Jeremias;De Jó;3;;;;;;rascunho (IA)
117024;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 3:3;A que Tiago compara a língua, ao falar dos cavalos?;Aos freios postos na boca dos cavalos;Às rédeas seguradas pelo cavaleiro;Às ferraduras dos cascos;Ao açoite do condutor;0;;;;;;rascunho (IA)
117025;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 3:4;A que Tiago compara a língua, ao falar dos navios?;Ao mastro que os sustenta;Ao leme pequeno que os dirige;Às velas que os impulsionam;À âncora que os detém;1;;;;;;rascunho (IA)
117026;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 3:6;Como Tiago descreve a língua, em Tiago 3:6?;Como uma serpente;Como uma pedra;Como um fogo;Como uma espada;2;;;;;;rascunho (IA)
117027;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 3:8;O que nenhum homem pode domar, segundo Tiago 3:8?;O coração;A vontade;O pensamento;A língua;3;;;;;;rascunho (IA)
117028;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 3:11;Que pergunta Tiago faz sobre a fonte, ao tratar da língua?;Se ela deita água doce e amargosa pela mesma abertura;Se ela seca no tempo da estiagem;Se ela alimenta a terra ao redor;Se ela pode ser desviada;0;;;;;;rascunho (IA)
117029;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 3:12;Que pergunta Tiago faz sobre a figueira, ao tratar da coerência?;Se ela resiste ao vento;Se ela pode produzir azeitonas;Se ela dá fruto fora de tempo;Se ela cresce sem raiz;1;;;;;;rascunho (IA)
117030;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 4:4;O que Tiago declara ser a amizade do mundo?;Tentação passageira;Erro dos ignorantes;Inimizade contra Deus;Fraqueza do crente;2;;;;;;rascunho (IA)
117031;TIAGO_COMPLETO;2026-08-22;IA (Claude);4;Tiago;NT;;;Tg 4:14;A que Tiago compara a nossa vida, em Tiago 4:14?;A uma sombra que passa ao meio-dia;A uma flor que cai do campo;A um sopro de vento;A um vapor que aparece e depois se desvanece;3;;;;;;rascunho (IA)
117032;TIAGO_COMPLETO;2026-08-22;IA (Claude);5;Tiago;NT;;;Tg 1:13;O que Tiago afirma sobre Deus e a tentação?;Que Deus a ninguém tenta;Que Deus tenta para provar a fé;Que Deus permite toda tentação;Que Deus tenta somente os fortes;0;;;;;;rascunho (IA)
117033;TIAGO_COMPLETO;2026-08-22;IA (Claude);5;Tiago;NT;;;Tg 1:15;O que a concupiscência gera, e o que o pecado gera, segundo Tiago?;O pecado gera a vergonha e esta gera o afastamento;A concupiscência gera o pecado e o pecado gera a morte;O pecado gera a dúvida e a dúvida gera a queda;A concupiscência gera a dúvida e esta gera o erro;1;;;;;;rascunho (IA)
117034;TIAGO_COMPLETO;2026-08-22;IA (Claude);5;Tiago;NT;;;Tg 1:25;Como Tiago chama a lei em que devemos atentar e perseverar?;A lei antiga dos profetas;A lei do sacrifício;A lei perfeita da liberdade;A lei escrita nas tábuas;2;;;;;;rascunho (IA)
117035;TIAGO_COMPLETO;2026-08-22;IA (Claude);5;Tiago;NT;;;Tg 2:1;Do que Tiago adverte ao tratar da fé em Cristo?;De não confiar em riquezas;De não ensinar sem preparo;De não jurar levianamente;De não haver acepção de pessoas;3;;;;;;rascunho (IA)
