id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
121000;2PEDRO_COMPLETO;2026-08-22;IA (Claude);1;2 Pedro;NT;;;2Pe 1:1;Quem escreveu a segunda carta de Pedro?;Pedro;Paulo;Judas;João;0;;;;;;rascunho (IA)
121001;2PEDRO_COMPLETO;2026-08-22;IA (Claude);1;2 Pedro;NT;;;2Pe 3:9;O que o Senhor não quer, quanto às pessoas, segundo 2 Pedro 3:9?;Que alguém duvide;Que alguém se perca;Que alguém enriqueça;Que alguém sofra;1;;;;;;rascunho (IA)
121002;2PEDRO_COMPLETO;2026-08-22;IA (Claude);1;2 Pedro;NT;;;2Pe 3:8;Como um dia é diante do Senhor, segundo 2 Pedro 3:8?;Como um instante;Como uma vigília;Como mil anos;Como uma hora;2;;;;;;rascunho (IA)
121003;2PEDRO_COMPLETO;2026-08-22;IA (Claude);1;2 Pedro;NT;;;2Pe 3:10;Como o dia do Senhor virá, segundo Pedro?;Com grande aviso;Após sinais no templo;Ao amanhecer;Como ladrão de noite;3;;;;;;rascunho (IA)
121004;2PEDRO_COMPLETO;2026-08-22;IA (Claude);1;2 Pedro;NT;;;2Pe 3:13;O que esperamos, segundo a promessa citada em 2 Pedro 3:13?;Novos céus e nova terra;A volta dos profetas;A restauração de Israel;O fim das perseguições;0;;;;;;rascunho (IA)
121005;2PEDRO_COMPLETO;2026-08-22;IA (Claude);2;2 Pedro;NT;;;2Pe 1:4;O que nos foi dado, para que fôssemos participantes da natureza divina?;O selo dos apóstolos;Grandíssimas e preciosas promessas;Dons espirituais variados;A lei escrita no coração;1;;;;;;rascunho (IA)
121006;2PEDRO_COMPLETO;2026-08-22;IA (Claude);2;2 Pedro;NT;;;2Pe 1:16;O que Pedro afirma não ter seguido, ao anunciar a vinda de Cristo?;Visões de falsos profetas;Escritos dos gregos;Fábulas artificialmente compostas;Tradições dos anciãos;2;;;;;;rascunho (IA)
121007;2PEDRO_COMPLETO;2026-08-22;IA (Claude);2;2 Pedro;NT;;;2Pe 1:21;Como os homens santos falaram a profecia, segundo 2 Pedro 1:21?;Por decisão dos anciãos;Segundo a sua própria vontade;Depois de longo jejum;Inspirados pelo Espírito Santo;3;;;;;;rascunho (IA)
121008;2PEDRO_COMPLETO;2026-08-22;IA (Claude);2;2 Pedro;NT;;;2Pe 2:1;O que Pedro adverte que haverá entre o povo, como houve falsos profetas?;Falsos doutores;Reis opressores;Divisões entre tribos;Sinais enganosos;0;;;;;;rascunho (IA)
121009;2PEDRO_COMPLETO;2026-08-22;IA (Claude);2;2 Pedro;NT;;;2Pe 3:15;Como Pedro se refere a Paulo, ao citar as suas cartas?;O escolhido de Damasco;Nosso amado irmão;Nosso mestre em Cristo;O apóstolo dos gentios;1;;;;;;rascunho (IA)
121010;2PEDRO_COMPLETO;2026-08-22;IA (Claude);3;2 Pedro;NT;;;2Pe 1:5-7;Qual virtude Pedro manda acrescentar primeiro à fé?;A temperança;O amor fraternal;A virtude;A ciência;2;;;;;;rascunho (IA)
121011;2PEDRO_COMPLETO;2026-08-22;IA (Claude);3;2 Pedro;NT;;;2Pe 1:14;O que Pedro sabia estar próximo, ao escrever a carta?;Voltar a Jerusalém;Rever as igrejas da Ásia;Encontrar-se com Paulo;Deixar em breve o seu tabernáculo;3;;;;;;rascunho (IA)
121012;2PEDRO_COMPLETO;2026-08-22;IA (Claude);3;2 Pedro;NT;;;2Pe 1:18;Onde Pedro declara ter ouvido a voz vinda do céu?;No monte santo;No templo de Jerusalém;Junto ao mar da Galileia;No caminho de Damasco;0;;;;;;rascunho (IA)
121013;2PEDRO_COMPLETO;2026-08-22;IA (Claude);3;2 Pedro;NT;;;2Pe 2:5;Como Noé é descrito em 2 Pedro 2:5?;Profeta do dilúvio;Pregador da justiça;Amigo de Deus;Príncipe entre os povos;1;;;;;;rascunho (IA)
121014;2PEDRO_COMPLETO;2026-08-22;IA (Claude);3;2 Pedro;NT;;;2Pe 2:7;Como Ló é descrito em 2 Pedro 2:7?;Sacerdote do Deus altíssimo;Companheiro de Abraão na guerra;Justo, afligido pela conduta dos ímpios;Rico entre os habitantes de Sodoma;2;;;;;;rascunho (IA)
121015;2PEDRO_COMPLETO;2026-08-22;IA (Claude);4;2 Pedro;NT;;;2Pe 2:15;Que profeta é citado por ter amado o prêmio da injustiça?;Balaque;Corá;Jeroboão;Balaão;3;;;;;;rascunho (IA)
