id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
123000;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 1:9;O que acontece se confessarmos os nossos pecados?;Deus é fiel e justo para nos perdoar;Seremos advertidos pelos anciãos;Devemos oferecer um sacrifício;Precisamos esperar o juízo;0;;;;;;rascunho (IA)
123001;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 4:8;Como Deus é definido em 1 João 4:8?;Deus é rei;Deus é amor;Deus é juiz;Deus é fogo;1;;;;;;rascunho (IA)
123002;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 1:5;O que João anuncia sobre Deus, em 1 João 1:5?;Deus é santo e temível;Deus é pai e criador;Deus é luz e nele não há trevas;Deus é espírito e verdade;2;;;;;;rascunho (IA)
123003;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 4:19;Por que amamos a Deus, segundo 1 João 4:19?;Porque a lei assim ordena;Porque tememos o juízo;Porque os apóstolos ensinaram;Porque ele nos amou primeiro;3;;;;;;rascunho (IA)
123004;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 3:1;Que nome recebemos, pelo grande amor do Pai?;Filhos de Deus;Servos de Deus;Amigos de Deus;Herdeiros da lei;0;;;;;;rascunho (IA)
123005;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 2:15;O que João manda que não amemos?;As tradições antigas;O mundo nem as coisas que há no mundo;Os que nos perseguem;As riquezas dos gentios;1;;;;;;rascunho (IA)
123006;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 1:7;O que o sangue de Jesus faz, se andarmos na luz?;Sela a nossa promessa;Marca-nos como servos;Purifica-nos de todo pecado;Cobre as nossas fraquezas;2;;;;;;rascunho (IA)
123007;1JOAO_COMPLETO;2026-08-22;IA (Claude);1;1 João;NT;;;1Jo 5:4;O que vence o mundo, segundo 1 João 5:4?;A nossa obediência;A nossa esperança;A nossa força;A nossa fé;3;;;;;;rascunho (IA)
123008;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 1:1;Como João começa a sua primeira carta, falando do Verbo da vida?;Falando do que era desde o princípio, que ouviram e viram;Falando da criação dos céus;Falando das profecias antigas;Falando da lei de Moisés;0;;;;;;rascunho (IA)
123009;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 1:8;O que fazemos se dissermos que não temos pecado?;Somos justificados;Enganamos a nós mesmos;Agradamos a Deus;Cumprimos a lei;1;;;;;;rascunho (IA)
123010;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 2:1;Quem João diz que temos junto ao Pai, se alguém pecar?;Um intercessor no templo;Um defensor entre os apóstolos;Um Advogado, Jesus Cristo, o justo;Um mediador entre os anjos;2;;;;;;rascunho (IA)
123011;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 2:16;Que três coisas João aponta como sendo do mundo?;A riqueza, a fama e o poder;A dúvida, o medo e a preguiça;A ira, a inveja e a mentira;A concupiscência da carne, dos olhos e a soberba da vida;3;;;;;;rascunho (IA)
123012;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 2:17;O que permanece para sempre, ao contrário do mundo que passa?;Quem faz a vontade de Deus;Quem guarda a lei antiga;Quem ensina a verdade;Quem sofre por Cristo;0;;;;;;rascunho (IA)
123013;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 3:2;Como seremos quando ele se manifestar, segundo 1 João 3:2?;Restaurados ao estado de Adão;Semelhantes a ele, porque o veremos como ele é;Livres de toda memória;Iguais aos anjos do céu;1;;;;;;rascunho (IA)
123014;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 4:4;Por que os crentes venceram, segundo 1 João 4:4?;Porque guardaram a tradição;Porque oraram sem cessar;Porque maior é o que está neles do que o que está no mundo;Porque foram mais numerosos;2;;;;;;rascunho (IA)
123015;1JOAO_COMPLETO;2026-08-22;IA (Claude);2;1 João;NT;;;1Jo 4:18;O que o perfeito amor lança fora, segundo 1 João 4:18?;A dúvida;A tristeza;A ira;O temor;3;;;;;;rascunho (IA)
123016;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 2:4;Como João chama aquele que diz conhecer a Deus e não guarda os mandamentos?;Mentiroso;Insensato;Fraco;Enganado;0;;;;;;rascunho (IA)
123017;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 2:18;O que João diz que já surgiram, sinal da última hora?;Guerras entre as nações;Muitos anticristos;Falsos profetas do Egito;Sinais no céu;1;;;;;;rascunho (IA)
123018;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 3:8;De quem é aquele que comete o pecado, segundo 1 João 3:8?;Da carne;Da lei;Do diabo;Do mundo;2;;;;;;rascunho (IA)
123019;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 3:12;Quem João cita como exemplo de quem matou o próprio irmão?;Esaú;Absalão;Abimeleque;Caim;3;;;;;;rascunho (IA)
123020;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 3:14;Como sabemos que passamos da morte para a vida, segundo João?;Porque amamos os irmãos;Porque guardamos a lei;Porque fomos batizados;Porque confessamos o nome;0;;;;;;rascunho (IA)
123021;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 3:18;Como João manda que amemos, e não de palavra?;Com sacrifício e jejum;De obra e em verdade;Em silêncio e humildade;Em oração constante;1;;;;;;rascunho (IA)
123022;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 4:1;O que João manda fazer com os espíritos?;Ignorá-los completamente;Entregá-los aos anciãos;Prová-los, para ver se são de Deus;Aceitá-los, se falarem em nome de Cristo;2;;;;;;rascunho (IA)
123023;1JOAO_COMPLETO;2026-08-22;IA (Claude);3;1 João;NT;;;1Jo 4:2;Como se conhece o espírito que é de Deus, segundo 1 João 4:2?;Realiza sinais e prodígios;Cita corretamente os profetas;Prega somente aos judeus;Confessa que Jesus Cristo veio em carne;3;;;;;;rascunho (IA)
123024;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 2:2;Por quem Cristo é a propiciação, além dos nossos pecados?;Pelos de todo o mundo;Somente pelos escolhidos;Pelos que guardam a lei;Pelos que ainda virão;0;;;;;;rascunho (IA)
123025;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 2:10;O que não há naquele que ama o seu irmão, segundo João?;Fraqueza;Escândalo;Temor;Dúvida;1;;;;;;rascunho (IA)
123026;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 2:20;O que os crentes receberam do Santo, segundo 1 João 2:20?;O selo;A herança;A unção;A coroa;2;;;;;;rascunho (IA)
123027;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 3:4;Como João define o pecado em 1 João 3:4?;É a dúvida do coração;É a fraqueza da carne;É o esquecimento de Deus;É a transgressão da lei;3;;;;;;rascunho (IA)
123028;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 3:15;Como é chamado aquele que aborrece o seu irmão?;Homicida;Mentiroso;Insensato;Escravo;0;;;;;;rascunho (IA)
123029;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 4:10;Em que consiste o amor, segundo 1 João 4:10?;Em anunciarmos o seu nome;Não em que amássemos a Deus, mas em que ele nos amou;Em guardarmos os seus mandamentos;Em darmos a vida pelos irmãos;1;;;;;;rascunho (IA)
123030;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 4:12;O que João afirma sobre alguém ter visto a Deus?;Os profetas o viram em visão;Os anjos o contemplam sempre;Ninguém jamais o viu;Somente Moisés o viu;2;;;;;;rascunho (IA)
123031;1JOAO_COMPLETO;2026-08-22;IA (Claude);4;1 João;NT;;;1Jo 4:20;Como João chama quem diz amar a Deus e aborrece o irmão?;Hipócrita;Ignorante;Inconstante;Mentiroso;3;;;;;;rascunho (IA)
123032;1JOAO_COMPLETO;2026-08-22;IA (Claude);5;1 João;NT;;;1Jo 1:3;Com quem é a nossa comunhão, segundo 1 João 1:3?;Com o Pai e com seu Filho Jesus Cristo;Com os apóstolos somente;Com os anjos ministradores;Com os santos que já partiram;0;;;;;;rascunho (IA)
