id;lote;data_lote;fonte;nivel;livro_biblico;testamento;categoria_ebd;ebd_versao;referencia;pergunta_pt;alternativa_pt_a;alternativa_pt_b;alternativa_pt_c;alternativa_pt_d;resposta_correta;pergunta_en;alternativa_en_a;alternativa_en_b;alternativa_en_c;alternativa_en_d;status_revisao
131000;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 1:1;Quem recebeu e escreveu a revelação registrada no Apocalipse?;João;Pedro;Paulo;Tiago;0;;;;;;rascunho (IA)
131001;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 1:9;Em que ilha João estava quando recebeu a revelação?;Malta;Patmos;Creta;Chipre;1;;;;;;rascunho (IA)
131002;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 1:4;A quantas igrejas da Ásia o Apocalipse é endereçado?;Doze;Três;Sete;Cinco;2;;;;;;rascunho (IA)
131003;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 1:8;Que duas letras gregas o Senhor usa para se identificar?;Beta e Gama;Delta e Sigma;Iota e Ômicron;Alfa e Ômega;3;;;;;;rascunho (IA)
131004;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 3:20;O que Jesus declara estar fazendo, em Apocalipse 3:20?;Está à porta e bate;Está sentado no trono;Está andando entre as nuvens;Está escrevendo no livro;0;;;;;;rascunho (IA)
131005;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 3:16;Qual igreja é repreendida por ser morna?;Esmirna;Laodiceia;Éfeso;Sardes;1;;;;;;rascunho (IA)
131006;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 21:1;O que João viu, ao final da visão, no lugar do primeiro céu e da primeira terra?;Um mar de fogo;Uma cidade em ruínas;Um novo céu e uma nova terra;Um grande deserto;2;;;;;;rascunho (IA)
131007;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 21:2;Que cidade João viu descendo do céu, da parte de Deus?;A grande Babilônia;A cidade de Sião;A cidade dos justos;A nova Jerusalém;3;;;;;;rascunho (IA)
131008;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 21:4;O que Deus limpará dos olhos do seu povo?;Toda lágrima;Toda dúvida;Toda vergonha;Toda escuridão;0;;;;;;rascunho (IA)
131009;APOCALIPSE_COMPLETO;2026-08-22;IA (Claude);1;Apocalipse;NT;;;Ap 21:4;O que não haverá mais, segundo Apocalipse 21:4?;Lei nem juízo;Morte, pranto, clamor nem dor;Trabalho nem descanso;Noite nem manhã;1;;;;;;rascunho (IA)
